Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,B365H,B365D,B365A,BbMx>2.5,BbMx<2.5,BbAHh
F1,09/08/13,Montpellier,Paris SG,1,1,1,0,375,250,-133,120,-122,0.5
F1,10/08/13,Bordeaux,Monaco,0,2,0,0,200,200,150,145,-149,0
F1,10/08/13,Evian Thonon Gaillard,Sochaux,1,1,1,0,115,210,260,140,-137,-0.5
F1,10/08/13,Lille,Lorient,1,0,1,0,-161,260,500,118,-118,-1
F1,10/08/13,Lyon,Nice,4,0,1,0,-137,250,400,110,-116,-0.5
F1,10/08/13,Nantes,Bastia,2,0,1,0,125,210,240,125,-125,-0.25
F1,10/08/13,Rennes,Reims,2,1,1,1,-143,240,450,130,-125,-0.5
F1,10/08/13,Valenciennes,Toulouse,3,0,1,0,150,210,190,145,-145,0
F1,11/08/13,Ajaccio,St Etienne,0,1,0,1,240,220,120,138,-145,0.5
F1,11/08/13,Guingamp,Marseille,1,3,0,3,240,220,120,138,-143,0.5
F1,16/08/13,Sochaux,Lyon,1,3,1,2,260,220,110,122,-125,
F1,17/08/13,Bastia,Valenciennes,2,0,0,0,110,230,250,105,-106,
F1,17/08/13,Marseille,Evian Thonon Gaillard,2,0,1,0,-250,350,700,105,-109,
F1,17/08/13,Nice,Rennes,2,1,1,1,130,220,220,130,-132,
F1,17/08/13,Reims,Lille,2,1,1,0,260,220,110,145,-147,
F1,17/08/13,St Etienne,Guingamp,1,0,0,0,-227,300,700,120,-122,
F1,17/08/13,Toulouse,Bordeaux,1,1,1,1,138,200,225,163,-159,
F1,18/08/13,Lorient,Nantes,2,1,1,1,115,220,250,126,-132,
F1,18/08/13,Monaco,Montpellier,4,1,2,1,-189,280,550,111,-118,
F1,18/08/13,Paris SG,Ajaccio,1,1,0,1,-500,550,1200,-154,155,
F1,23/08/13,Monaco,Toulouse,0,0,0,0,-278,350,800,-116,112,-1.5
F1,24/08/13,Bordeaux,Bastia,1,0,1,0,-143,260,400,144,-143,-0.5
F1,24/08/13,Evian Thonon Gaillard,Rennes,1,2,0,2,138,210,210,125,-133,0
F1,24/08/13,Guingamp,Lorient,2,0,1,0,130,210,220,130,-139,0
F1,24/08/13,Lyon,Reims,0,1,0,0,-189,300,500,115,-114,-1
F1,24/08/13,Montpellier,Sochaux,2,1,1,1,-137,250,400,125,-127,-0.75
F1,24/08/13,Valenciennes,Marseille,0,1,0,0,250,230,110,141,-143,0.5
F1,25/08/13,Ajaccio,Nice,0,0,0,0,150,210,190,138,-167,-0.25
F1,25/08/13,Lille,St Etienne,1,0,1,0,-105,225,320,136,-139,-0.25
F1,25/08/13,Nantes,Paris SG,1,2,0,1,500,280,-175,109,-115,1
F1,31/08/13,Bastia,Toulouse,2,1,1,0,150,220,188,138,-141,0
F1,31/08/13,Evian Thonon Gaillard,Lyon,2,1,2,0,225,220,125,116,-120,0.5
F1,31/08/13,Lorient,Valenciennes,1,0,1,0,-110,240,300,120,-127,-0.5
F1,31/08/13,Paris SG,Guingamp,2,0,0,0,-556,550,1500,-167,162,-2
F1,31/08/13,Reims,Nantes,0,0,0,0,125,210,240,140,-139,-0.5
F1,31/08/13,Rennes,Lille,0,0,0,0,188,210,155,134,-137,0
F1,31/08/13,Sochaux,Ajaccio,0,0,0,0,100,220,300,134,-139,-0.5
F1,01/09/13,Marseille,Monaco,1,2,1,0,140,210,210,130,-133,0
F1,01/09/13,Nice,Montpellier,2,2,2,1,100,225,280,138,-141,-0.5
F1,01/09/13,St Etienne,Bordeaux,2,1,1,0,100,230,280,142,-145,-0.25
F1,13/09/13,Bordeaux,Paris SG,0,2,0,1,333,225,-110,138,-139,0.5
F1,14/09/13,Ajaccio,Evian Thonon Gaillard,2,3,0,2,170,200,180,133,-141,0
F1,14/09/13,Guingamp,Bastia,1,1,0,0,105,225,275,110,-115,-0.25
F1,14/09/13,Montpellier,Reims,0,0,0,0,-120,225,375,138,-133,-0.5
F1,14/09/13,Nantes,Sochaux,1,0,0,0,-110,225,333,125,-128,-0.5
F1,14/09/13,Toulouse,Marseille,1,1,0,0,188,200,160,148,-152,0
F1,14/09/13,Valenciennes,St Etienne,1,3,0,1,240,210,125,132,-137,0
F1,15/09/13,Lille,Nice,0,2,0,2,-143,240,450,131,-132,-0.5
F1,15/09/13,Lyon,Rennes,0,0,0,0,-110,230,320,100,100,-0.5
F1,15/09/13,Monaco,Lorient,1,0,1,0,-250,350,700,-110,112,-1
F1,20/09/13,St Etienne,Toulouse,1,2,1,0,-125,225,400,140,-139,-0.5
F1,21/09/13,Bastia,Marseille,0,0,0,0,230,210,130,130,-125,0
