Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,B365H,B365D,B365A,B365>2.5,B365<2.5,AHCh
F1,06/08/2021,20:00,Monaco,Nantes,1,1,1,1,-227,333,600,-152,120,-1.25
F1,07/08/2021,16:00,Lyon,Brest,1,1,0,1,-303,400,750,-278,220,-1.5
F1,07/08/2021,20:00,Troyes,Paris SG,1,2,1,2,1000,500,-400,-175,137,1.5
F1,08/08/2021,12:00,Rennes,Lens,1,1,1,1,100,240,275,100,-125,-0.5
F1,08/08/2021,14:00,Bordeaux,Clermont,0,2,0,0,100,240,275,110,-139,0
F1,08/08/2021,14:00,Nice,Reims,0,0,0,0,-118,250,320,100,-125,-0.5
F1,08/08/2021,14:00,St Etienne,Lorient,1,1,0,0,125,225,220,-108,-108,-0.25
F1,08/08/2021,14:00,Strasbourg,Angers,0,2,0,0,100,220,300,120,-152,-0.5
F1,08/08/2021,16:00,Metz,Lille,3,3,2,1,425,240,-139,130,-164,0.5
F1,08/08/2021,19:45,Montpellier,Marseille,2,3,2,0,220,240,120,-111,-111,0.5
F1,13/08/2021,20:00,Lorient,Monaco,1,0,1,0,300,275,-118,101,-109,0.5
F1,14/08/2021,16:00,Lille,Nice,0,4,0,3,-125,250,375,110,-139,-0.5
F1,14/08/2021,20:00,Paris SG,Strasbourg,4,2,3,0,-500,600,1200,-250,200,-1.75
F1,15/08/2021,12:00,Angers,Lyon,3,0,1,0,350,280,-133,-139,110,0.75
F1,15/08/2021,14:00,Brest,Rennes,1,1,0,0,210,240,130,-112,104,0.25
F1,15/08/2021,14:00,Clermont,Troyes,2,0,0,0,100,240,280,110,-139,-0.5
F1,15/08/2021,14:00,Nantes,Metz,2,0,1,0,130,220,225,130,-164,-0.25
F1,15/08/2021,14:00,Reims,Montpellier,3,3,2,3,160,230,175,100,-125,0
F1,15/08/2021,16:00,Lens,St Etienne,2,2,1,1,100,250,275,-111,-111,-0.5
F1,15/08/2021,19:45,Marseille,Bordeaux,2,2,2,0,-189,320,500,-111,-111,-1.25
F1,20/08/2021,20:00,Brest,Paris SG,2,4,1,2,850,475,-400,-250,200,1.5
F1,21/08/2021,16:00,Monaco,Lens,0,2,0,0,-143,275,375,-125,100,-0.75
