Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,B365H,B365D,B365A,BbAv>2.5,BbAv<2.5,BbAHh
D1,24/08/12,Dortmund,Werder Bremen,2,1,1,0,-333,450,800,-192,145,-1.5
D1,25/08/12,Augsburg,Fortuna Dusseldorf,0,2,0,0,100,250,260,101,-127,-0.25
D1,25/08/12,Ein Frankfurt,Leverkusen,2,1,0,1,180,240,140,-114,-109,0.25
D1,25/08/12,Freiburg,Mainz,1,1,0,0,150,230,175,104,-132,0
D1,25/08/12,Greuther Furth,Bayern Munich,0,3,0,1,750,375,-278,-164,124,1.25
D1,25/08/12,Hamburg,Nurnberg,0,1,0,0,105,240,250,-108,-116,-0.5
D1,25/08/12,M'gladbach,Hoffenheim,2,1,1,0,-110,240,300,-103,-120,-0.5
D1,25/08/12,Stuttgart,Wolfsburg,0,1,0,0,100,250,260,-154,121,-0.5
D1,26/08/12,Hannover,Schalke 04,2,2,1,0,188,240,138,-119,-105,0
D1,31/08/12,Mainz,Greuther Furth,0,1,0,0,-125,250,350,-102,-120,-0.5
D1,01/09/12,Fortuna Dusseldorf,M'gladbach,0,0,0,0,190,230,140,100,-125,0.25
D1,01/09/12,Hoffenheim,Ein Frankfurt,0,4,0,2,105,240,250,-108,-114,-0.25
D1,01/09/12,Leverkusen,Freiburg,2,0,1,0,-175,300,450,-161,125,-1
D1,01/09/12,Nurnberg,Dortmund,1,1,1,1,500,300,-182,-132,107,1
D1,01/09/12,Schalke 04,Augsburg,3,1,1,0,-278,375,750,-172,130,-1.25
D1,01/09/12,Werder Bremen,Hamburg,2,0,0,0,-137,275,350,-143,113,-0.75
D1,02/09/12,Bayern Munich,Stuttgart,6,1,3,1,-400,500,1000,-238,173,-1.75
D1,02/09/12,Wolfsburg,Hannover,0,4,0,2,-105,250,275,-143,114,-0.5
D1,14/09/12,Augsburg,Wolfsburg,0,0,0,0,170,240,150,-125,101,0
D1,15/09/12,Bayern Munich,Mainz,3,1,2,0,-588,600,1400,-233,170,-2
D1,15/09/12,Dortmund,Leverkusen,3,0,2,0,-227,333,600,-141,113,-1
D1,15/09/12,Greuther Furth,Schalke 04,0,2,0,0,275,250,-105,-141,113,0.5
D1,15/09/12,Hannover,Werder Bremen,3,2,2,1,130,240,200,-147,116,-0.25
D1,15/09/12,M'gladbach,Nurnberg,2,3,1,2,100,240,275,106,-132,-0.25
D1,15/09/12,Stuttgart,Fortuna Dusseldorf,0,0,0,0,-161,280,450,-149,118,-0.75
D1,16/09/12,Ein Frankfurt,Hamburg,3,2,2,1,100,240,275,-112,-110,-0.5
D1,16/09/12,Freiburg,Hoffenheim,5,3,2,1,140,240,180,-110,-112,-0.25
D1,21/09/12,Nurnberg,Ein Frankfurt,1,2,0,1,110,240,240,-130,105,-0.25
D1,22/09/12,Fortuna Dusseldorf,Freiburg,0,0,0,0,115,240,230,106,-132,-0.25
D1,22/09/12,Hamburg,Dortmund,3,2,1,0,425,320,-175,-147,116,1
D1,22/09/12,Mainz,Augsburg,2,0,2,0,-137,260,375,-105,-118,-0.75
D1,22/09/12,Schalke 04,Bayern Munich,0,2,0,0,300,240,-110,-156,124,0.75
D1,22/09/12,Wolfsburg,Greuther Furth,1,1,1,1,-125,275,320,-120,-104,-0.75
D1,23/09/12,Hoffenheim,Hannover,3,1,1,1,150,240,170,-135,108,0
D1,23/09/12,Leverkusen,M'gladbach,1,1,1,1,-110,260,280,-114,-110,-0.5
D1,23/09/12,Werder Bremen,Stuttgart,2,2,2,0,-110,260,275,-179,135,-0.5
D1,25/09/12,Bayern Munich,Wolfsburg,3,0,1,0,-500,550,1200,-270,195,-2
D1,25/09/12,Ein Frankfurt,Dortmund,3,3,0,2,320,275,-125,-156,126,0.75
D1,25/09/12,Greuther Furth,Fortuna Dusseldorf,0,2,0,2,115,225,250,126,-156,-0.25
D1,25/09/12,Schalke 04,Mainz,3,0,1,0,-175,280,500,-149,120,-1
D1,26/09/12,Augsburg,Leverkusen,1,3,0,3,220,230,125,106,-132,0.25
D1,26/09/12,Freiburg,Werder Bremen,1,2,1,0,150,240,170,-149,117,0
D1,26/09/12,Hannover,Nurnberg,4,1,2,0,110,240,240,-116,-106,-0.25
D1,26/09/12,M'gladbach,Hamburg,2,2,1,2,-110,250,300,-115,-108,-0.5
D1,26/09/12,Stuttgart,Hoffenheim,0,3,0,1,-120,275,300,-164,128,-0.75
D1,28/09/12,Fortuna Dusseldorf,Schalke 04,2,2,0,2,333,250,-120,-102,-120,0.75
D1,29/09/12,Dortmund,M'gladbach,5,0,2,0,-278,350,800,-156,123,-1.5
D1,29/09/12,Hamburg,Hannover,1,0,1,0,130,240,200,-159,125,-0.25
D1,29/09/12,Hoffenheim,Augsburg,0,0,0,0,-133,275,350,-135,109,-0.75
D1,29/09/12,Leverkusen,Greuther Furth,2,0,0,0,-227,333,600,-149,119,-1
D1,29/09/12,Nurnberg,Stuttgart,0,2,0,1,130,240,200,-141,112,-0.25
D1,29/09/12,Werder Bremen,Bayern Munich,0,2,0,0,500,300,-189,-213,161,1
D1,30/09/12,Ein Frankfurt,Freiburg,2,1,0,0,-133,275,350,-185,140,-0.75
D1,30/09/12,Wolfsburg,Mainz,0,2,0,2,110,240,240,-128,102,-0.25
D1,05/10/12,Augsburg,Werder Bremen,3,1,2,1,190,250,130,-133,108,0
D1,06/10/12,Bayern Munich,Hoffenheim,2,0,1,0,-714,650,1600,-278,200,-2.25
D1,06/10/12,Freiburg,Nurnberg,3,0,1,0,110,250,230,-123,100,0
D1,06/10/12,Greuther Furth,Hamburg,0,1,0,1,170,240,150,-123,100,0
D1,06/10/12,Mainz,Fortuna Dusseldorf,1,0,0,0,-120,250,333,108,-135,-0.5
D1,06/10/12,Schalke 04,Wolfsburg,3,0,1,0,-250,350,700,-172,131,-1.5
D1,07/10/12,Hannover,Dortmund,1,1,0,1,400,275,-149,-185,142,1
D1,07/10/12,M'gladbach,Ein Frankfurt,2,0,2,0,125,250,200,-161,126,0
D1,07/10/12,Stuttgart,Leverkusen,2,2,1,1,140,250,175,-167,127,0
D1,19/10/12,Hoffenheim,Greuther Furth,3,3,1,1,-120,260,320,100,-122,-0.75
D1,20/10/12,Dortmund,Schalke 04,1,2,0,1,-161,300,400,-172,131,-0.75
D1,20/10/12,Ein Frankfurt,Hannover,3,1,2,1,110,250,230,-179,134,-0.25
D1,20/10/12,Fortuna Dusseldorf,Bayern Munich,0,5,0,2,1000,400,-345,-145,117,1.5
D1,20/10/12,Leverkusen,Mainz,2,2,1,0,-149,280,400,-133,109,-0.75
D1,20/10/12,Werder Bremen,M'gladbach,4,0,2,0,110,240,240,-143,115,-0.25
D1,20/10/12,Wolfsburg,Freiburg,0,2,0,1,125,240,210,-123,101,-0.25
D1,21/10/12,Hamburg,Stuttgart,0,1,0,1,125,240,210,-161,128,-0.25
D1,21/10/12,Nurnberg,Augsburg,0,0,0,0,100,250,260,-104,-116,-0.5
D1,26/10/12,Augsburg,Hamburg,0,2,0,1,138,240,188,-104,-118,-0.25
D1,27/10/12,Fortuna Dusseldorf,Wolfsburg,1,4,0,0,130,230,210,109,-135,-0.25
D1,27/10/12,Freiburg,Dortmund,0,2,0,0,450,275,-161,-164,129,0.75
D1,27/10/12,Greuther Furth,Werder Bremen,1,1,1,1,160,240,160,-122,-102,0
D1,27/10/12,Mainz,Hoffenheim,3,0,1,0,100,250,260,-118,-105,-0.25
D1,27/10/12,Schalke 04,Nurnberg,1,0,0,0,-333,450,800,-200,151,-1.5
D1,28/10/12,Bayern Munich,Leverkusen,1,2,0,1,-455,500,1200,-256,185,-2
D1,28/10/12,Hannover,M'gladbach,2,3,0,0,-110,260,280,-137,110,-0.5
D1,28/10/12,Stuttgart,Ein Frankfurt,2,1,1,0,110,250,230,-182,135,-0.25
D1,02/11/12,Ein Frankfurt,Greuther Furth,1,1,1,0,-167,300,425,-141,116,-0.75
D1,03/11/12,Dortmund,Stuttgart,0,0,0,0,-303,400,800,-213,158,-1.5
D1,03/11/12,Hamburg,Bayern Munich,0,3,0,1,650,400,-278,-179,139,1.5
D1,03/11/12,Hannover,Augsburg,2,0,1,0,-143,275,375,-119,-103,-1
D1,03/11/12,Hoffenheim,Schalke 04,3,2,1,1,333,260,-125,-149,120,0.75
D1,03/11/12,M'gladbach,Freiburg,1,1,0,0,125,225,220,-111,-110,-0.25
D1,03/11/12,Nurnberg,Wolfsburg,1,0,0,0,150,240,170,-112,-109,0
D1,04/11/12,Leverkusen,Fortuna Dusseldorf,3,2,2,1,-227,333,600,-145,118,-1
D1,04/11/12,Werder Bremen,Mainz,2,1,1,0,100,250,260,-145,118,-0.25
D1,09/11/12,Mainz,Nurnberg,2,1,2,1,-125,250,350,-109,-112,-0.75
D1,10/11/12,Augsburg,Dortmund,1,3,0,1,550,310,-200,-132,105,1
D1,10/11/12,Bayern Munich,Ein Frankfurt,2,0,1,0,-588,600,1500,-286,206,-2
