Div,Div,Div,Div,Div,Div,Div,HTHG,HTAG,B365H,B365D,B365A,B365>2.5,B365<2.5,AHCh
D1,18/09/2020,19:30,Bayern Munich,Schalke 04,8,0,3,0,-1000,1000,2000,-455,333,-2.5
D1,19/09/2020,14:30,Ein Frankfurt,Bielefeld,1,1,0,0,-164,320,425,-175,137,-0.75
D1,19/09/2020,14:30,FC Koln,Hoffenheim,2,3,1,2,160,250,160,-175,137,0
D1,19/09/2020,14:30,Stuttgart,Freiburg,2,3,0,2,125,250,210,-125,100,-0.25
D1,19/09/2020,14:30,Union Berlin,Augsburg,1,3,0,1,130,230,220,100,-125,-0.25
D1,19/09/2020,14:30,Werder Bremen,Hertha,1,4,0,2,160,250,162,-139,110,0
D1,19/09/2020,17:30,Dortmund,M'gladbach,3,0,1,0,-167,333,400,-227,175,-1
D1,20/09/2020,14:30,RB Leipzig,Mainz,3,1,2,0,-303,475,700,-278,220,-1.5
D1,20/09/2020,17:00,Wolfsburg,Leverkusen,0,0,0,0,187,250,137,-139,110,0.25
D1,25/09/2020,19:30,Hertha,Ein Frankfurt,1,3,0,2,125,275,190,-189,150,-0.25
D1,26/09/2020,14:30,Augsburg,Dortmund,2,0,1,0,600,375,-227,-189,150,1.25
D1,26/09/2020,14:30,Bielefeld,FC Koln,1,0,0,0,162,250,160,-152,120,0
D1,26/09/2020,14:30,Leverkusen,RB Leipzig,1,1,1,1,200,250,130,-175,137,0.25
D1,26/09/2020,14:30,Mainz,Stuttgart,1,4,1,1,137,250,190,-164,130,0
D1,26/09/2020,14:30,M'gladbach,Union Berlin,1,1,0,0,-227,350,650,-139,110,-1.25
D1,26/09/2020,17:30,Schalke 04,Werder Bremen,1,3,0,2,150,240,180,-139,110,0
D1,27/09/2020,14:30,Hoffenheim,Bayern Munich,4,1,2,1,1000,650,-500,-400,300,2
D1,27/09/2020,17:00,Freiburg,Wolfsburg,1,1,1,1,220,230,130,-111,-111,0
D1,02/10/2020,19:30,Union Berlin,Mainz,4,0,1,0,105,260,240,-125,100,-0.25
D1,03/10/2020,14:30,Dortmund,Freiburg,4,0,1,0,-357,500,800,-227,175,-1.25
D1,03/10/2020,14:30,Ein Frankfurt,Hoffenheim,2,1,0,1,137,270,180,-227,175,0.25
D1,03/10/2020,14:30,FC Koln,M'gladbach,1,3,0,2,280,300,-118,-152,120,0.5
D1,03/10/2020,14:30,Stuttgart,Leverkusen,1,1,0,1,280,280,-118,-200,162,0.25
D1,03/10/2020,14:30,Werder Bremen,Bielefeld,1,0,1,0,115,250,230,-139,110,-0.25
D1,03/10/2020,17:30,RB Leipzig,Schalke 04,4,0,3,0,-400,550,900,-250,200,-1.75
D1,04/10/2020,14:30,Wolfsburg,Augsburg,0,0,0,0,100,260,270,-125,100,-0.5
D1,04/10/2020,17:00,Bayern Munich,Hertha,4,3,1,0,-625,700,1400,-400,300,-2.25
D1,17/10/2020,14:30,Augsburg,RB Leipzig,0,2,0,1,475,350,-189,-189,150,1
D1,17/10/2020,14:30,Freiburg,Werder Bremen,1,1,1,1,125,250,210,-125,100,-0.25
D1,17/10/2020,14:30,Hertha,Stuttgart,0,2,0,1,105,280,230,-189,150,-0.5
D1,17/10/2020,14:30,Hoffenheim,Dortmund,0,1,0,0,300,333,-133,-278,220,0.75
D1,17/10/2020,14:30,Mainz,Leverkusen,0,1,0,1,450,333,-175,-227,175,1
D1,17/10/2020,17:30,Bielefeld,Bayern Munich,1,4,0,3,1200,750,-625,-357,275,2.5
D1,17/10/2020,19:30,M'gladbach,Wolfsburg,1,1,0,0,-118,280,300,-152,120,-0.75
D1,18/10/2020,14:30,FC Koln,Ein Frankfurt,1,1,0,1,220,280,110,-227,175,0.25
D1,18/10/2020,17:00,Schalke 04,Union Berlin,1,1,0,0,175,225,160,110,-139,0.25
D1,23/10/2020,19:30,Stuttgart,FC Koln,1,1,1,1,-118,280,280,-175,137,-0.5
D1,24/10/2020,14:30,Bayern Munich,Ein Frankfurt,5,0,2,0,-625,650,800,-455,333,-2.25
D1,24/10/2020,14:30,Mainz,M'gladbach,2,3,2,1,375,333,-164,-175,137,0.5
D1,24/10/2020,14:30,RB Leipzig,Hertha,2,1,1,1,-250,350,600,-250,200,-1
D1,24/10/2020,14:30,Union Berlin,Freiburg,1,1,1,1,130,230,210,-116,104,-0.25
D1,24/10/2020,17:30,Dortmund,Schalke 04,3,0,0,0,-625,550,1100,-250,200,-2
D1,25/10/2020,14:30,Wolfsburg,Bielefeld,2,1,2,0,-154,275,425,-110,-101,-1
D1,25/10/2020,17:00,Werder Bremen,Hoffenheim,1,1,1,1,200,275,120,-175,137,0
D1,26/10/2020,19:30,Leverkusen,Augsburg,3,1,1,0,-167,320,425,-175,137,-1
D1,30/10/2020,19:30,Schalke 04,Stuttgart,1,1,1,0,210,260,115,-152,120,0.25
D1,31/10/2020,14:30,Augsburg,Mainz,3,1,1,0,100,275,250,-139,110,-0.25
D1,31/10/2020,14:30,Bielefeld,Dortmund,0,2,0,0,650,400,-250,-175,137,1.5
D1,31/10/2020,14:30,Ein Frankfurt,Werder Bremen,1,1,0,0,-139,300,350,-189,150,-0.75
D1,31/10/2020,14:30,FC Koln,Bayern Munich,1,2,0,2,1100,700,-556,-455,333,1.75
D1,31/10/2020,17:30,M'gladbach,RB Leipzig,1,0,0,0,200,260,125,-175,137,0
D1,01/11/2020,14:30,Freiburg,Leverkusen,2,4,1,2,280,250,-105,-139,110,0.25
D1,01/11/2020,17:00,Hertha,Wolfsburg,1,1,1,1,162,250,155,-139,110,-0.25
D1,02/11/2020,19:30,Hoffenheim,Union Berlin,1,3,0,0,-118,300,280,-164,130,-0.5
D1,06/11/2020,19:30,Werder Bremen,FC Koln,1,1,0,0,137,260,187,-125,100,0
D1,07/11/2020,14:30,Augsburg,Hertha,0,3,0,1,190,250,130,-139,110,0.25
D1,07/11/2020,14:30,Mainz,Schalke 04,2,2,2,1,110,240,240,-125,100,-0.25
D1,07/11/2020,14:30,RB Leipzig,Freiburg,3,0,1,0,-278,375,800,-189,150,-1.25
D1,07/11/2020,14:30,Stuttgart,Ein Frankfurt,2,2,2,0,155,260,150,-189,150,0
D1,07/11/2020,14:30,Union Berlin,Bielefeld,5,0,3,0,-120,275,320,100,-125,-0.75
D1,07/11/2020,17:30,Dortmund,Bayern Munich,2,3,1,1,300,333,-133,-303,240,0.25
D1,08/11/2020,14:30,Wolfsburg,Hoffenheim,2,1,2,0,110,260,225,-164,130,-0.25
D1,08/11/2020,17:00,Leverkusen,M'gladbach,4,3,2,2,120,250,200,-152,120,0
D1,21/11/2020,14:30,Bayern Munich,Werder Bremen,1,1,0,1,-1000,900,2200,-500,350,-2.5
D1,21/11/2020,14:30,Bielefeld,Leverkusen,1,2,0,1,475,360,-200,-152,120,1
D1,21/11/2020,14:30,Hoffenheim,Stuttgart,3,3,1,2,130,275,180,-227,175,-0.25
D1,21/11/2020,14:30,M'gladbach,Augsburg,1,1,1,0,-200,350,500,-175,137,-1
D1,21/11/2020,14:30,Schalke 04,Wolfsburg,0,2,0,2,280,260,-105,-125,100,0.5
D1,21/11/2020,17:30,Ein Frankfurt,RB Leipzig,1,1,1,0,280,300,-118,-189,150,0.75
D1,21/11/2020,19:30,Hertha,Dortmund,2,5,1,0,350,333,-154,-175,137,1
D1,22/11/2020,14:30,Freiburg,Mainz,1,3,0,3,105,260,240,-152,120,-0.5
D1,22/11/2020,17:00,FC Koln,Union Berlin,1,2,1,1,170,240,160,-111,-111,0.25
D1,27/11/2020,19:30,Wolfsburg,Werder Bremen,5,3,3,2,-125,260,333,-112,101,-0.5
D1,28/11/2020,14:30,Augsburg,Freiburg,1,1,0,0,137,250,190,-139,110,-0.25
D1,28/11/2020,14:30,Dortmund,FC Koln,1,2,0,1,-500,600,1200,-227,175,-2
D1,28/11/2020,14:30,RB Leipzig,Bielefeld,2,1,1,0,-500,600,1200,-227,175,-1.75
D1,28/11/2020,14:30,Stuttgart,Bayern Munich,1,3,1,2,800,525,-357,-400,300,1.75
