Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,B365H,B365D,B365A,B365>2.5,B365<2.5,AHCh
D1,23/08/2024,19:30,M'gladbach,Leverkusen,2,3,0,2,425,350,-182,-227,175,1
D1,24/08/2024,14:30,Augsburg,Werder Bremen,2,2,2,1,120,260,210,-137,110,0
D1,24/08/2024,14:30,Freiburg,Stuttgart,3,1,1,1,250,260,105,-149,120,0.5
D1,24/08/2024,14:30,Hoffenheim,Holstein Kiel,3,2,2,0,-154,350,350,-189,150,-1
D1,24/08/2024,14:30,Mainz,Union Berlin,1,1,0,0,100,240,290,120,-149,-0.5
D1,24/08/2024,14:30,RB Leipzig,Bochum,1,0,0,0,-400,600,800,-278,220,-2
D1,24/08/2024,17:30,Dortmund,Ein Frankfurt,2,0,0,0,-143,310,350,-200,163,-0.75
D1,25/08/2024,14:30,Wolfsburg,Bayern Munich,2,3,0,1,525,375,-222,-227,175,1.25
D1,25/08/2024,16:30,St Pauli,Heidenheim,0,2,0,0,110,250,240,-115,103,-0.5
D1,30/08/2024,19:30,Union Berlin,St Pauli,1,0,1,0,-110,250,310,103,-115,-0.5
D1,31/08/2024,14:30,Bochum,M'gladbach,0,2,0,0,160,260,160,-175,138,0.25
D1,31/08/2024,14:30,Ein Frankfurt,Hoffenheim,3,1,2,0,-125,320,290,-227,175,-0.75
D1,31/08/2024,14:30,Holstein Kiel,Wolfsburg,0,2,0,2,220,270,115,-137,110,0.25
D1,31/08/2024,14:30,Stuttgart,Mainz,3,3,2,1,-161,333,425,-161,130,-0.75
D1,31/08/2024,14:30,Werder Bremen,Dortmund,0,0,0,0,310,300,-125,-227,175,0.5
D1,31/08/2024,17:30,Leverkusen,RB Leipzig,2,3,2,1,-133,320,310,-200,163,-0.75
D1,01/09/2024,14:30,Heidenheim,Augsburg,4,0,2,0,138,250,190,-137,110,-0.25
D1,01/09/2024,16:30,Bayern Munich,Freiburg,2,0,1,0,-500,700,1000,-400,300,-2
D1,13/09/2024,19:30,Dortmund,Heidenheim,4,2,3,1,-250,450,550,-200,163,-1.5
D1,14/09/2024,14:30,Freiburg,Bochum,2,1,0,1,-143,290,400,-149,120,-1
D1,14/09/2024,14:30,Hoffenheim,Leverkusen,1,4,1,2,475,350,-208,-303,240,1.25
D1,14/09/2024,14:30,M'gladbach,Stuttgart,1,3,1,1,175,300,130,-227,175,0
D1,14/09/2024,14:30,RB Leipzig,Union Berlin,0,0,0,0,-208,350,550,-149,120,-1.25
D1,14/09/2024,14:30,Wolfsburg,Ein Frankfurt,1,2,0,1,163,260,150,-137,110,0
D1,14/09/2024,17:30,Holstein Kiel,Bayern Munich,1,6,0,4,1000,600,-455,-345,275,2
D1,15/09/2024,14:30,Augsburg,St Pauli,3,1,0,0,110,260,240,-137,110,-0.5
D1,15/09/2024,16:30,Mainz,Werder Bremen,1,2,1,1,100,270,250,-137,110,-0.25
D1,20/09/2024,19:30,Augsburg,Mainz,2,3,1,2,138,250,190,-149,120,-0.25
D1,21/09/2024,14:30,Bochum,Holstein Kiel,2,2,2,1,-110,250,300,-161,130,-0.5
D1,21/09/2024,14:30,Heidenheim,Freiburg,0,3,0,0,170,250,155,-137,110,0.25
D1,21/09/2024,14:30,Union Berlin,Hoffenheim,2,1,2,0,100,260,270,-137,110,-0.5
D1,21/09/2024,14:30,Werder Bremen,Bayern Munich,0,5,0,2,700,450,-278,-278,220,1.75
D1,21/09/2024,17:30,Ein Frankfurt,M'gladbach,2,0,1,0,-133,300,333,-200,163,-0.75
D1,22/09/2024,14:30,Leverkusen,Wolfsburg,4,3,2,3,-333,475,700,-227,175,-1.75
D1,22/09/2024,16:30,Stuttgart,Dortmund,5,1,2,0,130,275,190,-227,175,-0.25
D1,22/09/2024,18:30,St Pauli,RB Leipzig,0,0,0,0,475,290,-161,-149,120,0.75
D1,27/09/2024,19:30,Dortmund,Bochum,4,2,1,2,-400,600,800,-345,275,-2
D1,28/09/2024,14:30,Freiburg,St Pauli,0,3,0,2,-161,300,450,-119,106,-1
D1,28/09/2024,14:30,Mainz,Heidenheim,0,2,0,1,-120,275,320,-137,110,-0.5
D1,28/09/2024,14:30,M'gladbach,Union Berlin,1,0,0,0,110,250,240,-125,100,-0.25
D1,28/09/2024,14:30,RB Leipzig,Augsburg,4,0,2,0,-250,425,550,-227,175,-1
D1,28/09/2024,14:30,Wolfsburg,Stuttgart,2,2,1,1,220,290,105,-200,163,0.5
D1,28/09/2024,17:30,Bayern Munich,Leverkusen,1,1,1,1,-137,333,320,-333,250,-1
D1,29/09/2024,14:30,Holstein Kiel,Ein Frankfurt,2,4,1,1,320,320,-137,-200,163,0.5
D1,29/09/2024,16:30,Hoffenheim,Werder Bremen,3,4,3,3,138,280,170,-227,175,-0.25
D1,04/10/2024,19:30,Augsburg,M'gladbach,2,1,1,0,138,270,170,-200,163,0
D1,05/10/2024,14:30,Bochum,Wolfsburg,1,3,0,2,200,270,120,-161,130,0.25
D1,05/10/2024,14:30,Leverkusen,Holstein Kiel,2,2,2,1,-1111,1000,2000,-455,333,-2.75
D1,05/10/2024,14:30,Union Berlin,Dortmund,2,1,2,0,230,250,115,-137,110,0.5
D1,05/10/2024,14:30,Werder Bremen,Freiburg,0,1,0,0,160,250,160,-149,120,0
D1,05/10/2024,17:30,St Pauli,Mainz,0,3,0,2,140,230,190,-114,102,-0.25
D1,06/10/2024,14:30,Heidenheim,RB Leipzig,0,1,0,0,350,333,-149,-175,138,0.75
D1,06/10/2024,16:30,Ein Frankfurt,Bayern Munich,3,3,2,2,450,350,-189,-278,220,1
D1,06/10/2024,18:30,Stuttgart,Hoffenheim,1,1,0,1,-333,500,700,-400,300,-1.5
D1,18/10/2024,19:30,Dortmund,St Pauli,2,1,1,0,-333,425,850,-200,163,-1.5
D1,19/10/2024,14:30,Freiburg,Augsburg,3,1,3,0,-137,275,375,-137,110,-0.75
D1,19/10/2024,14:30,Hoffenheim,Bochum,3,1,1,0,-143,350,320,-250,200,-1
D1,19/10/2024,14:30,Leverkusen,Ein Frankfurt,2,1,1,1,-227,375,550,-250,200,-1.25
D1,19/10/2024,14:30,Mainz,RB Leipzig,0,2,0,2,290,280,-118,-149,120,0.5
D1,19/10/2024,14:30,M'gladbach,Heidenheim,3,2,1,1,-118,270,310,-161,130,-0.5
D1,19/10/2024,17:30,Bayern Munich,Stuttgart,4,0,0,0,-278,425,650,-333,250,-1.75
D1,20/10/2024,14:30,Holstein Kiel,Union Berlin,0,2,0,1,250,230,115,100,-111,0.5
D1,20/10/2024,16:30,Wolfsburg,Werder Bremen,2,4,1,1,110,260,230,-137,110,-0.5
D1,25/10/2024,19:30,Mainz,M'gladbach,1,1,0,0,130,275,180,-175,138,-0.25
D1,26/10/2024,14:30,Augsburg,Dortmund,2,1,1,1,260,300,-111,-200,163,0.75
D1,26/10/2024,14:30,RB Leipzig,Freiburg,3,1,0,1,-137,310,350,-149,120,-0.75
D1,26/10/2024,14:30,St Pauli,Wolfsburg,0,0,0,0,155,250,163,-128,100,0
D1,26/10/2024,14:30,Stuttgart,Holstein Kiel,2,1,1,0,-455,650,850,-333,250,-2
D1,26/10/2024,17:30,Werder Bremen,Leverkusen,2,2,0,1,425,400,-200,-250,200,1.25
D1,27/10/2024,14:30,Bochum,Bayern Munich,0,5,0,2,1100,850,-588,-455,333,2.5
D1,27/10/2024,16:30,Union Berlin,Ein Frankfurt,1,1,0,1,155,230,175,-105,-105,0
D1,27/10/2024,18:30,Heidenheim,Hoffenheim,0,0,0,0,125,250,210,-189,150,0
D1,01/11/2024,19:30,Leverkusen,Stuttgart,0,0,0,0,-182,375,425,-278,220,-1
D1,02/11/2024,14:30,Bayern Munich,Union Berlin,3,0,2,0,-556,650,1200,-227,175,-2.25
D1,02/11/2024,14:30,Ein Frankfurt,Bochum,7,2,4,1,-303,475,650,-278,220,-1.25
D1,02/11/2024,14:30,Hoffenheim,St Pauli,0,2,0,1,-120,280,300,-161,130,-0.5
D1,02/11/2024,14:30,Holstein Kiel,Heidenheim,1,0,1,0,170,250,145,-137,110,0
D1,02/11/2024,14:30,Wolfsburg,Augsburg,1,1,0,1,100,275,250,-161,130,-0.25
D1,02/11/2024,17:30,Dortmund,RB Leipzig,2,1,1,1,120,280,200,-200,163,-0.25
D1,03/11/2024,14:30,Freiburg,Mainz,0,0,0,0,-143,290,375,-137,110,-0.75
D1,03/11/2024,16:30,M'gladbach,Werder Bremen,4,1,3,0,110,280,220,-200,163,-0.25
D1,08/11/2024,19:30,Union Berlin,Freiburg,0,0,0,0,145,225,190,138,-175,-0.25
D1,09/11/2024,14:30,Bochum,Leverkusen,1,1,0,1,850,550,-370,-333,250,1.75
D1,09/11/2024,14:30,Mainz,Dortmund,3,1,2,1,250,260,100,-161,130,0.5
D1,09/11/2024,14:30,St Pauli,Bayern Munich,0,1,0,1,800,600,-400,-250,200,2
D1,09/11/2024,14:30,Werder Bremen,Holstein Kiel,2,1,1,0,-161,333,375,-189,150,-1
D1,09/11/2024,17:30,RB Leipzig,M'gladbach,0,0,0,0,-175,333,425,-250,200,-1
D1,10/11/2024,14:30,Augsburg,Hoffenheim,0,0,0,0,105,275,225,-175,138,-0.25
D1,10/11/2024,16:30,Stuttgart,Ein Frankfurt,2,3,0,1,-111,300,270,-227,175,-0.75
D1,10/11/2024,18:30,Heidenheim,Wolfsburg,1,3,0,2,175,240,145,-105,-105,0
D1,22/11/2024,19:30,Bayern Munich,Augsburg,3,0,0,0,-769,900,1400,-345,275,-2.5
D1,23/11/2024,14:30,Dortmund,Freiburg,4,0,2,0,-149,320,350,-175,138,-0.75
D1,23/11/2024,14:30,Hoffenheim,RB Leipzig,4,3,1,2,240,250,110,-175,138,0.25
D1,23/11/2024,14:30,Leverkusen,Heidenheim,5,2,2,2,-500,550,1400,-250,200,-2
D1,23/11/2024,14:30,Stuttgart,Bochum,2,0,0,0,-345,500,800,-303,240,-1.5
D1,23/11/2024,14:30,Wolfsburg,Union Berlin,1,0,0,0,130,230,220,110,-137,-0.25
D1,23/11/2024,17:30,Ein Frankfurt,Werder Bremen,1,0,1,0,-143,310,350,-200,163,-0.75
D1,24/11/2024,14:30,Holstein Kiel,Mainz,0,3,0,2,210,240,130,-125,100,0.25
D1,24/11/2024,16:30,M'gladbach,St Pauli,2,0,2,0,-125,280,320,-125,100,-0.5
D1,29/11/2024,19:30,St Pauli,Holstein Kiel,3,1,1,0,-149,275,425,-105,-105,-0.75
D1,30/11/2024,14:30,Augsburg,Bochum,1,0,1,0,-137,300,350,-137,110,-0.75
D1,30/11/2024,14:30,Freiburg,M'gladbach,3,1,1,0,-105,280,260,-149,120,-0.5
D1,30/11/2024,14:30,RB Leipzig,Wolfsburg,1,5,0,3,-143,300,375,-161,130,-0.75
D1,30/11/2024,14:30,Union Berlin,Leverkusen,1,2,1,1,375,270,-133,-112,101,0.5
D1,30/11/2024,14:30,Werder Bremen,Stuttgart,2,2,1,1,200,275,120,-189,150,0
D1,30/11/2024,17:30,Dortmund,Bayern Munich,1,1,1,0,375,310,-149,-250,200,0.75
D1,01/12/2024,14:30,Mainz,Hoffenheim,2,0,2,0,110,240,250,-149,120,-0.25
D1,01/12/2024,16:30,Heidenheim,Ein Frankfurt,0,4,0,1,270,270,-105,-137,110,0.5
D1,06/12/2024,19:30,Stuttgart,Union Berlin,3,2,0,1,-125,260,350,110,-137,-0.5
D1,07/12/2024,14:30,Bayern Munich,Heidenheim,4,2,1,0,-1000,1000,1800,-400,275,-2.5
D1,07/12/2024,14:30,Bochum,Werder Bremen,0,1,0,0,220,250,120,-161,130,0.5
D1,07/12/2024,14:30,Ein Frankfurt,Augsburg,2,2,0,0,-189,310,525,-161,130,-1
D1,07/12/2024,14:30,Holstein Kiel,RB Leipzig,0,2,0,1,475,320,-175,-204,145,1.25
D1,07/12/2024,14:30,Leverkusen,St Pauli,2,1,2,0,-400,550,900,-200,163,-1.5
D1,07/12/2024,17:30,M'gladbach,Dortmund,1,1,0,0,220,275,110,-227,175,0.5
D1,08/12/2024,14:30,Wolfsburg,Mainz,4,3,1,2,115,230,250,-119,106,-0.25
D1,08/12/2024,16:30,Hoffenheim,Freiburg,1,1,0,0,170,240,155,-137,110,-0.25
D1,13/12/2024,19:30,Freiburg,Wolfsburg,3,2,1,0,120,230,230,-108,-103,-0.25
D1,14/12/2024,14:30,Augsburg,Leverkusen,0,2,0,2,475,300,-175,-149,120,1
D1,14/12/2024,14:30,Mainz,Bayern Munich,2,1,1,0,550,350,-208,-189,150,1
D1,14/12/2024,14:30,M'gladbach,Holstein Kiel,4,1,3,1,-227,375,550,-200,163,-1.25
D1,14/12/2024,14:30,Union Berlin,Bochum,0,2,,,-167,280,500,104,-116,-0.75
D1,14/12/2024,17:30,St Pauli,Werder Bremen,0,2,0,1,163,240,163,-105,-105,0
D1,15/12/2024,14:30,Heidenheim,Stuttgart,1,3,1,2,300,300,-125,-137,110,0.75
D1,15/12/2024,16:30,Dortmund,Hoffenheim,1,1,0,0,-227,400,500,-250,200,-1.5
D1,15/12/2024,18:30,RB Leipzig,Ein Frankfurt,2,1,1,1,105,300,220,-189,150,-0.25
D1,20/12/2024,19:30,Bayern Munich,RB Leipzig,5,1,3,1,-500,650,1000,-345,275,-2
D1,21/12/2024,14:30,Ein Frankfurt,Mainz,1,3,0,2,-120,300,290,-149,120,-0.25
D1,21/12/2024,14:30,Hoffenheim,M'gladbach,1,2,0,1,130,260,190,-175,138,-0.25
D1,21/12/2024,14:30,Holstein Kiel,Augsburg,5,1,4,1,200,240,135,-103,-108,0.25
D1,21/12/2024,14:30,Stuttgart,St Pauli,0,1,0,1,-222,375,550,-149,120,-1.25
D1,21/12/2024,14:30,Werder Bremen,Union Berlin,4,1,3,1,105,230,275,100,-125,-0.25
D1,21/12/2024,17:30,Leverkusen,Freiburg,5,1,1,0,-263,400,650,-161,130,-1.25
D1,22/12/2024,14:30,Bochum,Heidenheim,2,0,2,0,130,250,200,-137,110,-0.25
D1,22/12/2024,16:30,Wolfsburg,Dortmund,1,3,0,3,210,260,120,-161,130,0.25
D1,10/01/2025,19:30,Dortmund,Leverkusen,2,3,1,3,170,260,145,-175,138,0.5
D1,11/01/2025,14:30,Freiburg,Holstein Kiel,3,2,2,0,-250,375,650,-175,138,-1.25
D1,11/01/2025,14:30,Heidenheim,Union Berlin,2,0,1,0,210,230,130,105,-118,0.25
D1,11/01/2025,14:30,Hoffenheim,Wolfsburg,0,1,0,1,135,260,188,-175,138,-0.25
D1,11/01/2025,14:30,Mainz,Bochum,2,0,1,0,-189,333,475,-137,110,-0.75
D1,11/01/2025,14:30,St Pauli,Ein Frankfurt,0,1,0,1,270,250,105,-118,105,0.25
D1,11/01/2025,17:30,M'gladbach,Bayern Munich,0,1,0,0,600,400,-250,-278,220,1.5
D1,12/01/2025,14:30,RB Leipzig,Werder Bremen,4,2,2,1,-133,300,320,-189,150,-0.5
D1,12/01/2025,16:30,Augsburg,Stuttgart,0,1,0,0,260,260,100,-137,110,0.5
D1,14/01/2025,17:30,Holstein Kiel,Dortmund,4,2,3,0,425,350,-182,-227,175,1.25
D1,14/01/2025,19:30,Ein Frankfurt,Freiburg,4,1,1,1,-143,320,333,-175,138,-0.75
D1,14/01/2025,19:30,Leverkusen,Mainz,1,0,0,0,-278,425,650,-161,130,-1.5
D1,14/01/2025,19:30,Wolfsburg,M'gladbach,5,1,1,0,-110,280,275,-161,130,-0.5
D1,15/01/2025,17:30,Bochum,St Pauli,1,0,0,0,160,225,175,100,-125,-0.25
D1,15/01/2025,19:30,Bayern Munich,Hoffenheim,5,0,3,0,-769,800,1600,-400,300,-2.5
D1,15/01/2025,19:30,Stuttgart,RB Leipzig,2,1,0,1,-105,290,240,-227,175,-0.5
D1,15/01/2025,19:30,Union Berlin,Augsburg,0,2,0,2,-120,250,350,110,-137,-0.25
D1,15/01/2025,19:30,Werder Bremen,Heidenheim,3,3,1,1,-167,320,375,-175,138,-0.75
D1,17/01/2025,19:30,Ein Frankfurt,Dortmund,2,0,1,0,155,260,163,-175,138,0
D1,18/01/2025,14:30,Bayern Munich,Wolfsburg,3,2,2,1,-588,650,1400,-333,250,-2.25
D1,18/01/2025,14:30,Bochum,RB Leipzig,3,3,0,3,270,260,100,-137,110,0.25
D1,18/01/2025,14:30,Heidenheim,St Pauli,0,2,0,1,138,250,180,-103,-108,-0.25
D1,18/01/2025,14:30,Holstein Kiel,Hoffenheim,1,3,0,2,200,240,135,-149,120,0.25
D1,18/01/2025,14:30,Stuttgart,Freiburg,4,0,3,0,-154,350,350,-189,150,-1
D1,18/01/2025,17:30,Leverkusen,M'gladbach,3,1,1,0,-370,475,1000,-227,175,-1.75
D1,19/01/2025,14:30,Union Berlin,Mainz,2,1,2,1,155,220,188,110,-137,0
D1,19/01/2025,16:30,Werder Bremen,Augsburg,0,2,0,2,-118,280,300,-115,103,-0.5
D1,24/01/2025,19:30,Wolfsburg,Holstein Kiel,2,2,0,1,-238,400,600,-189,150,-1.25
D1,25/01/2025,14:30,Augsburg,Heidenheim,2,1,1,0,-122,260,300,-109,-102,-0.5
D1,25/01/2025,14:30,Dortmund,Werder Bremen,2,2,1,0,-161,333,375,-200,163,-1.25
D1,25/01/2025,14:30,Freiburg,Bayern Munich,1,2,0,1,650,475,-303,-227,175,2
D1,25/01/2025,14:30,Mainz,Stuttgart,2,0,1,0,180,250,145,-137,110,0.25
D1,25/01/2025,14:30,RB Leipzig,Leverkusen,2,2,1,2,270,290,-111,-204,145,0.5
D1,25/01/2025,17:30,M'gladbach,Bochum,3,0,1,0,-137,300,350,-161,130,-0.75
D1,26/01/2025,14:30,Hoffenheim,Ein Frankfurt,2,2,0,1,210,260,120,-149,120,0.25
D1,26/01/2025,16:30,St Pauli,Union Berlin,3,0,1,0,155,210,200,120,-149,-0.25
