Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,B365H,B365D,B365A,BbMx>2.5,BbMx<2.5,BbAHh
I1,18/08/2018,Chievo,Juventus,2,3,1,1,1200,475,-400,-133,124,2
I1,18/08/2018,Lazio,Napoli,1,2,1,1,180,240,150,-135,129,0
I1,19/08/2018,Bologna,Spal,0,1,0,0,125,220,240,143,-154,-0.25
I1,19/08/2018,Empoli,Cagliari,2,0,1,0,114,220,260,122,-128,-0.25
I1,19/08/2018,Parma,Udinese,2,2,1,0,145,230,190,134,-137,0
I1,19/08/2018,Sassuolo,Inter,1,0,1,0,450,300,-164,-109,104,1
I1,19/08/2018,Torino,Roma,0,1,0,0,250,250,110,-127,117,0.25
I1,20/08/2018,Atalanta,Frosinone,4,0,1,0,-278,350,1000,-114,105,-1.5
I1,25/08/2018,Juventus,Lazio,2,0,1,0,-278,400,750,-145,136,-1
I1,25/08/2018,Napoli,Milan,3,2,0,1,-164,300,450,-120,116,-1
I1,26/08/2018,Cagliari,Sassuolo,2,2,1,0,145,230,190,112,-120,0
I1,26/08/2018,Fiorentina,Chievo,6,1,2,0,-200,333,550,-112,105,-1
I1,26/08/2018,Frosinone,Bologna,0,0,0,0,230,200,140,144,-154,0.25
I1,26/08/2018,Genoa,Empoli,2,1,2,0,-105,240,300,142,-149,-0.25
I1,26/08/2018,Inter,Torino,2,2,2,0,-200,333,600,-127,121,-1
I1,26/08/2018,Spal,Parma,1,0,0,0,104,230,280,142,-152,-0.25
I1,26/08/2018,Udinese,Sampdoria,1,0,1,0,140,225,210,-103,-102,-0.25
I1,27/08/2018,Roma,Atalanta,3,3,1,3,-139,275,400,-111,103,-1
I1,31/08/2018,Milan,Roma,2,1,1,0,145,240,187,-123,117,-0.25
I1,01/09/2018,Bologna,Inter,0,3,0,0,600,300,-189,111,-118,1
I1,01/09/2018,Parma,Juventus,1,2,1,1,1600,600,-556,-154,141,2
I1,02/09/2018,Atalanta,Cagliari,0,1,0,1,-182,320,500,-116,109,-1
I1,02/09/2018,Chievo,Empoli,0,0,0,0,130,220,230,125,-128,-0.25
I1,02/09/2018,Fiorentina,Udinese,1,0,0,0,-175,300,500,-120,114,-1
I1,02/09/2018,Lazio,Frosinone,1,0,0,0,-455,550,1200,-189,171,-2
I1,02/09/2018,Sampdoria,Napoli,3,0,2,0,550,310,-189,-130,121,1
I1,02/09/2018,Sassuolo,Genoa,5,3,4,1,110,230,275,126,-133,-0.25
I1,02/09/2018,Torino,Spal,1,0,0,0,-152,275,450,107,-115,-1
I1,15/09/2018,Frosinone,Sampdoria,0,5,0,1,250,240,110,110,-118,0.25
I1,15/09/2018,Inter,Parma,0,1,0,0,-400,500,1100,-154,143,-1.75
I1,15/09/2018,Napoli,Fiorentina,1,0,0,0,-175,320,475,-149,140,-1
I1,16/09/2018,Cagliari,Milan,1,1,1,0,400,260,-133,101,-105,1
I1,16/09/2018,Empoli,Lazio,0,1,0,0,400,280,-143,-135,126,1
I1,16/09/2018,Genoa,Bologna,1,0,0,0,-111,225,350,142,-152,-1
I1,16/09/2018,Juventus,Sassuolo,2,1,0,0,-500,600,1200,-189,180,-2
I1,16/09/2018,Roma,Chievo,2,2,2,0,-455,550,1200,-213,200,-2
I1,16/09/2018,Udinese,Torino,1,1,1,0,190,225,150,103,-108,0
I1,17/09/2018,Spal,Atalanta,2,0,0,0,300,250,-105,113,-118,0.75
I1,19/09/2018,Sampdoria,Fiorentina,1,1,0,1,187,225,154,-108,101,0
I1,21/09/2018,Sassuolo,Empoli,3,1,1,1,110,230,260,-106,105,-0.25
I1,22/09/2018,Fiorentina,Spal,3,0,2,0,-164,260,550,105,-115,-1
I1,22/09/2018,Parma,Cagliari,2,0,1,0,140,220,210,119,-132,-0.25
I1,22/09/2018,Sampdoria,Inter,0,1,0,0,333,280,-125,-120,113,0.75
I1,23/09/2018,Bologna,Roma,2,0,1,0,450,275,-152,-115,108,1
I1,23/09/2018,Chievo,Udinese,0,2,0,0,200,220,150,130,-139,0.25
I1,23/09/2018,Frosinone,Juventus,0,2,0,0,1200,650,-625,-175,160,2
I1,23/09/2018,Lazio,Genoa,4,1,2,0,-227,333,700,-154,140,-1
I1,23/09/2018,Milan,Atalanta,2,2,1,0,104,250,260,-105,-101,-0.25
I1,23/09/2018,Torino,Napoli,1,3,0,2,350,280,-133,-120,112,0.75
I1,25/09/2018,Inter,Fiorentina,2,1,1,0,-152,280,450,-114,106,-1
I1,26/09/2018,Atalanta,Torino,0,0,0,0,-125,260,350,-118,110,-1
I1,26/09/2018,Cagliari,Sampdoria,0,0,0,0,150,230,187,-106,101,-0.25
I1,26/09/2018,Genoa,Chievo,2,0,1,0,-125,240,400,125,-135,-1
I1,26/09/2018,Juventus,Bologna,2,0,2,0,-625,650,1600,-169,155,-2
I1,26/09/2018,Napoli,Parma,3,0,1,0,-455,500,1400,-175,162,-2
I1,26/09/2018,Roma,Frosinone,4,0,3,0,-500,600,1200,-222,190,-2
I1,26/09/2018,Udinese,Lazio,1,2,0,0,320,275,-118,-114,107,1
I1,27/09/2018,Empoli,Milan,1,1,0,1,425,275,-143,-128,118,1
I1,27/09/2018,Spal,Sassuolo,0,2,0,0,154,220,190,115,-123,-0.25
I1,29/09/2018,Inter,Cagliari,2,0,1,0,-303,400,900,-156,145,-1.5
I1,29/09/2018,Juventus,Napoli,3,1,1,1,-125,260,375,103,-105,-1
I1,29/09/2018,Roma,Lazio,3,1,1,0,137,250,190,-152,138,-0.25
I1,30/09/2018,Bologna,Udinese,2,1,1,1,150,210,210,155,-167,-0.25
I1,30/09/2018,Chievo,Torino,0,1,0,0,275,220,110,122,-130,0.25
I1,30/09/2018,Fiorentina,Atalanta,2,0,0,0,125,230,225,-101,-105,-0.25
I1,30/09/2018,Frosinone,Genoa,1,2,1,2,250,210,125,128,-137,0.25
I1,30/09/2018,Parma,Empoli,1,0,1,0,130,220,230,114,-119,-0.25
I1,30/09/2018,Sassuolo,Milan,1,4,0,1,230,240,120,-120,112,0.25
I1,01/10/2018,Sampdoria,Spal,2,1,1,1,-125,260,333,100,-108,-1
I1,05/10/2018,Torino,Frosinone,3,2,1,0,-278,375,800,-101,-102,-1.5
I1,06/10/2018,Cagliari,Bologna,2,0,1,0,104,225,280,135,-149,-0.25
I1,06/10/2018,Empoli,Roma,0,2,0,1,450,300,-164,-135,131,1
I1,06/10/2018,Udinese,Juventus,0,2,0,2,800,375,-278,-119,112,1
I1,07/10/2018,Atalanta,Sampdoria,0,1,0,0,-167,300,450,-127,115,-1
I1,07/10/2018,Genoa,Parma,1,3,1,3,-133,275,375,106,-115,-1
I1,07/10/2018,Lazio,Fiorentina,1,0,1,0,-118,275,320,-123,113,-1
I1,07/10/2018,Milan,Chievo,3,1,2,0,-400,475,1100,-154,141,-1.5
