Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,B365H,B365D,B365A,B365>2.5,B365<2.5,AHCh
I1,19/08/2023,17:30,Empoli,Verona,0,1,0,0,125,220,230,110,-137,-0.25
I1,19/08/2023,17:30,Frosinone,Napoli,1,3,1,2,750,400,-278,-149,120,1
I1,19/08/2023,19:45,Genoa,Fiorentina,1,4,0,3,240,225,120,110,-137,0.25
I1,19/08/2023,19:45,Inter,Monza,2,0,1,0,-250,400,600,-175,138,-1.25
I1,20/08/2023,17:30,Roma,Salernitana,2,2,1,1,-189,300,550,110,-137,-1
I1,20/08/2023,17:30,Sassuolo,Atalanta,0,2,0,0,250,240,110,-161,130,0.25
I1,20/08/2023,19:45,Lecce,Lazio,2,1,0,1,260,230,110,120,-149,0.25
I1,20/08/2023,19:45,Udinese,Juventus,0,3,0,3,333,260,-120,110,-137,0.5
I1,21/08/2023,17:30,Torino,Cagliari,0,0,0,0,-149,275,425,110,-137,-1
I1,21/08/2023,19:45,Bologna,Milan,0,2,0,2,300,240,-105,100,-125,0.5
I1,26/08/2023,17:30,Frosinone,Atalanta,2,1,2,0,400,300,-149,-149,120,0.75
I1,26/08/2023,17:30,Monza,Empoli,2,0,1,0,-110,250,320,107,-120,-0.5
I1,26/08/2023,19:45,Milan,Torino,4,1,3,1,-154,280,400,120,-149,-0.75
I1,26/08/2023,19:45,Verona,Roma,2,1,2,0,333,250,-120,130,-161,0.5
I1,27/08/2023,17:30,Fiorentina,Lecce,2,2,2,0,-175,320,475,110,-137,-0.75
I1,27/08/2023,17:30,Juventus,Bologna,1,1,0,1,-200,350,500,-108,-103,-0.75
I1,27/08/2023,19:45,Lazio,Genoa,0,1,0,1,-182,300,500,106,-119,-0.5
I1,27/08/2023,19:45,Napoli,Sassuolo,2,0,1,0,-303,450,750,-227,175,-1.5
I1,28/08/2023,17:30,Salernitana,Udinese,1,1,0,0,170,220,163,103,-115,0
I1,28/08/2023,19:45,Cagliari,Inter,0,2,0,2,650,350,-227,-137,110,1.25
I1,01/09/2023,17:30,Sassuolo,Verona,3,1,1,0,100,260,275,-118,105,-0.5
I1,01/09/2023,19:45,Roma,Milan,1,2,0,1,180,210,163,130,-161,0
I1,02/09/2023,17:30,Bologna,Cagliari,2,1,0,1,-143,275,400,100,-111,-0.75
I1,02/09/2023,17:30,Udinese,Frosinone,0,0,0,0,-125,260,350,-101,-110,-0.5
I1,02/09/2023,19:45,Atalanta,Monza,3,0,2,0,-161,300,425,-137,110,-0.75
I1,02/09/2023,19:45,Napoli,Lazio,1,2,1,1,-161,300,450,-116,104,-0.75
I1,03/09/2023,17:30,Inter,Fiorentina,4,0,1,0,-154,280,425,-125,100,-0.75
I1,03/09/2023,17:30,Torino,Genoa,1,0,0,0,100,230,300,138,-175,-0.5
I1,03/09/2023,19:45,Empoli,Juventus,0,2,0,1,425,280,-149,-106,-104,1
I1,03/09/2023,19:45,Lecce,Salernitana,2,0,1,0,100,230,300,120,-149,-0.5
I1,16/09/2023,14:00,Juventus,Lazio,3,1,2,0,-110,240,333,110,-137,-0.5
I1,16/09/2023,17:00,Inter,Milan,5,1,2,0,115,250,240,-111,100,-0.25
I1,16/09/2023,19:45,Genoa,Napoli,2,2,1,0,450,280,-149,-125,100,0.75
I1,17/09/2023,11:30,Cagliari,Udinese,0,0,0,0,188,230,150,110,-137,0
I1,17/09/2023,14:00,Frosinone,Sassuolo,4,2,1,2,180,240,150,-116,104,0.25
I1,17/09/2023,14:00,Monza,Lecce,1,1,1,1,110,240,250,110,-137,-0.25
I1,17/09/2023,17:00,Fiorentina,Atalanta,3,2,2,1,138,250,188,-125,100,0
I1,17/09/2023,19:45,Roma,Empoli,7,0,3,0,-227,350,650,-105,-105,-1.25
I1,18/09/2023,17:30,Salernitana,Torino,0,3,0,2,260,225,120,120,-149,0.25
I1,18/09/2023,19:45,Verona,Bologna,0,0,0,0,210,230,138,110,-137,0.25
I1,22/09/2023,17:30,Salernitana,Frosinone,1,1,0,1,150,220,190,110,-137,-0.25
I1,22/09/2023,19:45,Lecce,Genoa,1,0,0,0,145,220,210,130,-161,-0.25
I1,23/09/2023,14:00,Milan,Verona,1,0,1,0,-278,375,800,-137,110,-1.25
I1,23/09/2023,17:00,Sassuolo,Juventus,4,2,2,1,300,300,-125,-137,110,0.75
I1,23/09/2023,19:45,Lazio,Monza,1,1,1,1,-125,280,320,-111,100,-0.75
I1,24/09/2023,11:30,Empoli,Inter,0,1,0,0,800,425,-303,-175,138,1.75
I1,24/09/2023,14:00,Atalanta,Cagliari,2,0,1,0,-250,400,700,-149,120,-1.25
I1,24/09/2023,14:00,Udinese,Fiorentina,0,2,0,1,220,250,125,-101,-110,0.25
I1,24/09/2023,17:00,Bologna,Napoli,0,0,0,0,275,260,-110,-118,105,0.25
I1,24/09/2023,19:45,Torino,Roma,1,1,0,0,210,190,160,163,-200,0.25
I1,26/09/2023,19:45,Juventus,Lecce,1,0,0,0,-200,320,600,-104,-106,-1
I1,27/09/2023,17:30,Cagliari,Milan,1,3,1,2,425,280,-149,-101,-110,0.5
I1,27/09/2023,17:30,Empoli,Salernitana,1,0,1,0,130,230,220,100,-125,0
I1,27/09/2023,17:30,Verona,Atalanta,0,1,0,1,320,275,-120,-104,-106,0.5
I1,27/09/2023,19:45,Inter,Sassuolo,1,2,1,0,-303,450,700,-250,200,-1.75
I1,27/09/2023,19:45,Lazio,Torino,2,0,0,0,115,225,250,120,-149,-0.25
I1,27/09/2023,19:45,Napoli,Udinese,4,1,2,0,-278,400,750,-149,120,-1.25
I1,28/09/2023,17:30,Frosinone,Fiorentina,1,1,0,1,275,260,-105,-115,103,0.5
