Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,B365H,B365D,B365A,B365>2.5,B365<2.5,AHCh
E0,16/08/2024,20:00,Man United,Fulham,1,0,0,0,-167,320,425,-189,150,-0.75
E0,17/08/2024,12:30,Ipswich,Liverpool,0,2,0,0,750,450,-303,-250,200,1.5
E0,17/08/2024,15:00,Arsenal,Wolves,2,0,1,0,-556,650,1200,-227,175,-2.25
E0,17/08/2024,15:00,Everton,Brighton,0,3,0,1,163,230,163,-125,100,0.25
E0,17/08/2024,15:00,Newcastle,Southampton,1,0,1,0,-278,425,700,-250,200,-1.25
E0,17/08/2024,15:00,Nott'm Forest,Bournemouth,1,1,1,0,145,250,180,-137,110,-0.25
E0,17/08/2024,17:30,West Ham,Aston Villa,1,2,1,1,145,260,175,-175,138,0
E0,18/08/2024,14:00,Brentford,Crystal Palace,2,1,1,0,140,240,190,-125,100,0
E0,18/08/2024,16:30,Chelsea,Man City,0,2,0,1,310,290,-125,-200,163,0.5
E0,19/08/2024,20:00,Leicester,Tottenham,1,1,0,1,400,333,-161,-189,150,0.75
E0,24/08/2024,12:30,Brighton,Man United,2,1,1,0,150,270,163,-175,138,-0.25
E0,24/08/2024,15:00,Crystal Palace,West Ham,0,2,0,0,115,260,220,-137,110,-0.5
E0,24/08/2024,15:00,Fulham,Leicester,2,1,1,1,-125,275,320,-112,101,-0.5
E0,24/08/2024,15:00,Man City,Ipswich,4,1,3,1,-1250,1100,2000,-333,250,-2.5
E0,24/08/2024,15:00,Southampton,Nott'm Forest,0,1,0,0,155,230,180,101,-112,-0.25
E0,24/08/2024,15:00,Tottenham,Everton,4,0,2,0,-227,375,550,-200,163,-1.5
E0,24/08/2024,17:30,Aston Villa,Arsenal,0,2,0,0,333,280,-133,-137,110,0.75
E0,25/08/2024,14:00,Bournemouth,Newcastle,1,1,1,0,190,280,120,-175,138,0
E0,25/08/2024,14:00,Wolves,Chelsea,2,6,2,2,333,300,-133,-161,130,0.5
E0,25/08/2024,16:30,Liverpool,Brentford,2,0,1,0,-370,475,1000,-278,220,-2
E0,31/08/2024,12:30,Arsenal,Brighton,1,1,1,0,-303,450,750,-189,150,-1.5
E0,31/08/2024,15:00,Brentford,Southampton,3,1,1,0,-133,290,333,-137,110,-0.75
E0,31/08/2024,15:00,Everton,Bournemouth,2,3,0,0,175,240,155,-109,-102,0.25
E0,31/08/2024,15:00,Ipswich,Fulham,1,1,1,1,200,250,130,-119,106,0.25
E0,31/08/2024,15:00,Leicester,Aston Villa,1,2,0,1,350,300,-143,-149,120,0.5
E0,31/08/2024,15:00,Nott'm Forest,Wolves,1,1,1,1,100,270,270,-118,105,-0.5
E0,31/08/2024,17:30,West Ham,Man City,1,3,1,2,600,450,-263,-227,175,1.25
E0,01/09/2024,13:30,Chelsea,Crystal Palace,1,1,1,0,-167,333,400,-200,163,-0.75
E0,01/09/2024,13:30,Newcastle,Tottenham,2,1,1,0,150,300,150,-278,220,0
E0,01/09/2024,16:00,Man United,Liverpool,0,3,0,2,270,320,-118,-227,175,0.5
E0,14/09/2024,12:30,Southampton,Man United,0,3,0,2,350,300,-143,-161,130,0.75
E0,14/09/2024,15:00,Brighton,Ipswich,0,0,0,0,-263,400,650,-189,150,-1
