Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,B365H,B365D,B365A,B365>2.5,B365<2.5,AHCh
E0,13/09/2025,12:30,Arsenal,Nott'm Forest,3,0,1,0,-263,400,700,-137,110,-1.25
E0,13/09/2025,15:00,Bournemouth,Brighton,2,1,1,0,135,250,190,-149,120,0
E0,13/09/2025,15:00,Crystal Palace,Sunderland,0,0,0,0,-154,275,475,110,-137,-0.75
E0,13/09/2025,15:00,Everton,Aston Villa,0,0,0,0,145,230,190,105,-125,0
E0,13/09/2025,15:00,Fulham,Leeds,1,0,0,0,-110,250,300,103,-120,-0.25
E0,13/09/2025,15:00,Newcastle,Wolves,1,0,1,0,-238,375,600,-125,100,-1.25
E0,13/09/2025,17:30,West Ham,Tottenham,0,3,0,0,240,260,110,-125,100,0.25
E0,13/09/2025,20:00,Brentford,Chelsea,2,2,1,0,350,290,-137,-137,110,0.5
E0,14/09/2025,14:00,Burnley,Liverpool,0,1,0,0,700,450,-303,-189,150,1.5
E0,14/09/2025,16:30,Man City,Man United,3,0,1,0,-133,300,320,-175,138,-1
