Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,B365H,B365D,B365A,B365>2.5,B365<2.5
E0,14/08/10,Aston Villa,West Ham,3,0,2,0,100,230,300,111,-122
E0,14/08/10,Blackburn,Everton,1,0,1,0,188,225,150,120,-127
E0,14/08/10,Bolton,Fulham,0,0,0,0,120,230,240,122,-133
E0,14/08/10,Chelsea,West Brom,6,0,2,0,-588,600,1600,-189,161
E0,14/08/10,Sunderland,Birmingham,2,2,1,0,110,230,260,128,-141
E0,14/08/10,Tottenham,Man City,0,0,0,0,140,230,200,103,-105
E0,14/08/10,Wigan,Blackpool,0,4,0,3,-120,250,350,121,-133
E0,14/08/10,Wolves,Stoke,2,1,2,0,130,225,220,143,-154
E0,15/08/10,Liverpool,Arsenal,1,1,0,0,150,225,188,135,-143
E0,16/08/10,Man United,Newcastle,3,0,2,0,-400,450,1400,-125,116
E0,21/08/10,Arsenal,Blackpool,6,0,3,0,-588,600,1800,-222,189
E0,21/08/10,Birmingham,Blackburn,2,1,0,0,120,225,240,152,-143
E0,21/08/10,Everton,Wolves,1,1,1,0,-200,300,600,105,-111
E0,21/08/10,Stoke,Tottenham,1,2,1,2,240,230,120,135,-143
E0,21/08/10,West Brom,Sunderland,1,0,0,0,150,225,188,120,-132
E0,21/08/10,West Ham,Bolton,1,3,0,0,125,230,225,106,-114
E0,21/08/10,Wigan,Chelsea,0,6,0,1,1400,500,-455,-147,138
E0,22/08/10,Fulham,Man United,2,2,0,1,500,300,-175,110,-109
E0,22/08/10,Newcastle,Aston Villa,6,0,3,0,220,225,130,122,-133
E0,23/08/10,Man City,Liverpool,3,0,1,0,138,225,210,138,-143
E0,28/08/10,Blackburn,Arsenal,1,2,1,1,500,300,-175,-111,104
E0,28/08/10,Blackpool,Fulham,2,2,0,1,220,225,130,101,-104
E0,28/08/10,Chelsea,Stoke,2,0,1,0,-909,800,2200,-238,225
E0,28/08/10,Man United,West Ham,3,0,1,0,-714,700,1800,-200,200
E0,28/08/10,Tottenham,Wigan,0,1,0,0,-400,475,1200,-182,163
E0,28/08/10,Wolves,Newcastle,1,1,1,0,140,220,210,128,-133
E0,29/08/10,Aston Villa,Everton,1,0,1,0,150,225,188,118,-125
E0,29/08/10,Bolton,Birmingham,2,2,0,1,110,230,260,131,-125
E0,29/08/10,Liverpool,West Brom,1,0,0,0,-455,500,1400,-156,142
E0,29/08/10,Sunderland,Man City,1,0,0,0,350,250,-120,109,-116
E0,11/09/10,Arsenal,Bolton,4,1,1,1,-400,450,1200,-189,165
E0,11/09/10,Everton,Man United,3,3,1,1,320,240,-110,109,-116
E0,11/09/10,Fulham,Wolves,2,1,0,1,-120,250,350,125,-133
E0,11/09/10,Man City,Blackburn,1,1,0,1,-303,400,900,-133,125
E0,11/09/10,Newcastle,Blackpool,0,2,0,1,-175,300,500,-133,128
E0,11/09/10,West Brom,Tottenham,1,1,1,1,275,225,110,103,-106
E0,11/09/10,West Ham,Chelsea,1,3,0,2,900,400,-303,-167,150
E0,11/09/10,Wigan,Sunderland,1,1,0,0,150,225,188,120,-132
E0,12/09/10,Birmingham,Liverpool,0,0,0,0,210,220,140,134,-143
E0,13/09/10,Stoke,Aston Villa,2,1,0,1,150,225,188,136,-147
E0,18/09/10,Aston Villa,Bolton,1,1,1,1,-125,260,350,-105,-103
E0,18/09/10,Blackburn,Fulham,1,1,1,0,100,230,300,125,-133
E0,18/09/10,Everton,Newcastle,0,1,0,1,-161,275,500,-102,-103
E0,18/09/10,Stoke,West Ham,1,1,0,1,-110,240,320,116,-123
E0,18/09/10,Sunderland,Arsenal,1,1,0,1,450,270,-149,-116,107
E0,18/09/10,Tottenham,Wolves,3,1,0,1,-250,350,750,-118,111
E0,18/09/10,West Brom,Birmingham,3,1,0,1,125,230,225,119,-127
E0,19/09/10,Chelsea,Blackpool,4,0,4,0,-1000,800,2500,-278,275
E0,19/09/10,Man United,Liverpool,3,2,1,0,-143,250,450,117,-127
E0,19/09/10,Wigan,Man City,0,2,0,1,400,260,-137,101,-109
E0,25/09/10,Arsenal,West Brom,2,3,0,0,-455,500,1400,-208,175
E0,25/09/10,Birmingham,Wigan,0,0,0,0,-120,250,350,125,-133
E0,25/09/10,Blackpool,Blackburn,1,2,0,1,220,225,130,-108,105
E0,25/09/10,Fulham,Everton,0,0,0,0,175,220,163,134,-137
E0,25/09/10,Liverpool,Sunderland,2,2,1,1,-227,333,650,100,-103
E0,25/09/10,Man City,Chelsea,1,0,0,0,260,230,110,100,-104
E0,25/09/10,West Ham,Tottenham,1,0,1,0,250,240,110,-101,-105
E0,26/09/10,Bolton,Man United,2,2,1,1,650,300,-200,-125,115
E0,26/09/10,Newcastle,Stoke,1,2,1,0,-110,240,320,113,-123
E0,26/09/10,Wolves,Aston Villa,1,2,0,1,188,225,150,118,-132
E0,02/10/10,Birmingham,Everton,0,2,0,0,188,210,163,134,-137
E0,02/10/10,Stoke,Blackburn,1,0,0,0,125,220,240,119,-127
E0,02/10/10,Sunderland,Man United,0,0,0,0,400,250,-133,105,-110
E0,02/10/10,Tottenham,Aston Villa,2,1,1,1,-110,250,300,-118,109
E0,02/10/10,West Brom,Bolton,1,1,0,0,110,225,275,-106,100
