Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,B365H,B365D,B365A,B365>2.5,B365<2.5,AHCh
E0,11/08/2017,Arsenal,Leicester,4,3,2,2,-189,350,550,-154,143,-1
E0,12/08/2017,Brighton,Man City,0,2,0,0,1000,450,-303,-143,140,1.5
E0,12/08/2017,Chelsea,Burnley,2,3,0,3,-400,550,1400,-141,133,-1.75
E0,12/08/2017,Crystal Palace,Huddersfield,0,3,0,2,-120,260,400,119,-127,-0.75
E0,12/08/2017,Everton,Stoke,1,0,1,0,-143,280,475,117,-125,-0.75
E0,12/08/2017,Southampton,Swansea,0,0,0,0,-161,300,550,117,-125,-0.75
E0,12/08/2017,Watford,Liverpool,3,3,2,1,500,320,-161,-112,108,1
E0,12/08/2017,West Brom,Bournemouth,1,0,1,0,140,230,230,125,-133,-0.25
E0,13/08/2017,Man United,West Ham,4,0,1,0,-333,475,1100,-132,125,-1.5
E0,13/08/2017,Newcastle,Tottenham,0,2,0,0,450,300,-143,-114,107,0.75
E0,19/08/2017,Bournemouth,Watford,0,2,0,0,100,260,300,-111,107,-0.5
E0,19/08/2017,Burnley,West Brom,0,1,0,0,163,220,200,157,-172,-0.25
E0,19/08/2017,Leicester,Brighton,2,0,1,0,-137,280,450,102,-110,-0.75
E0,19/08/2017,Liverpool,Crystal Palace,1,0,0,0,-278,425,850,-167,152,-1.5
E0,19/08/2017,Southampton,West Ham,3,2,2,1,-133,280,425,-111,107,-0.75
E0,19/08/2017,Stoke,Arsenal,1,0,0,0,350,280,-118,-115,110,0.5
E0,19/08/2017,Swansea,Man United,0,4,0,1,1000,400,-278,-103,100,1.25
E0,20/08/2017,Huddersfield,Newcastle,1,0,0,0,150,225,220,126,-139,-0.25
E0,20/08/2017,Tottenham,Chelsea,1,2,0,1,110,260,275,-102,-101,-0.5
E0,21/08/2017,Man City,Everton,1,1,0,1,-303,475,900,-152,150,-1.5
E0,26/08/2017,Bournemouth,Man City,1,2,1,1,1000,500,-333,-189,170,1.5
E0,26/08/2017,Crystal Palace,Swansea,0,2,0,1,-105,250,333,122,-133,-0.25
E0,26/08/2017,Huddersfield,Southampton,0,0,0,0,290,240,110,127,-139,0.25
E0,26/08/2017,Man United,Leicester,2,0,0,0,-303,450,1000,-141,133,-1.5
E0,26/08/2017,Newcastle,West Ham,3,0,1,0,130,240,240,100,-108,-0.25
E0,26/08/2017,Watford,Brighton,0,0,0,0,-110,240,300,131,-139,-0.5
E0,27/08/2017,Chelsea,Everton,2,0,2,0,-222,350,750,-102,-102,-1.25
E0,27/08/2017,Liverpool,Arsenal,4,0,2,0,115,270,250,-161,153,-0.25
E0,27/08/2017,Tottenham,Burnley,1,1,0,0,-400,550,1400,-143,132,-1.75
E0,27/08/2017,West Brom,Stoke,1,1,0,0,140,210,250,171,-189,-0.25
E0,09/09/2017,Arsenal,Bournemouth,3,0,2,0,-278,450,800,-222,200,-1.25
E0,09/09/2017,Brighton,West Brom,3,1,1,0,170,210,200,175,-189,-0.25
E0,09/09/2017,Everton,Tottenham,0,3,0,2,280,250,110,110,-116,0.25
E0,09/09/2017,Leicester,Chelsea,1,2,0,1,375,290,-125,-109,101,0.75
E0,09/09/2017,Man City,Liverpool,5,0,2,0,-118,300,320,-179,163,-0.5
E0,09/09/2017,Southampton,Watford,0,2,0,1,-154,300,500,103,-109,-0.75
E0,09/09/2017,Stoke,Man United,2,2,1,1,650,350,-200,-105,100,1
E0,10/09/2017,Burnley,Crystal Palace,1,0,1,0,130,225,250,142,-154,-0.25
E0,10/09/2017,Swansea,Newcastle,0,1,0,0,140,225,230,128,-133,-0.25
E0,11/09/2017,West Ham,Huddersfield,2,0,0,0,-105,250,350,105,-114,-0.5
E0,15/09/2017,Bournemouth,Brighton,2,1,0,0,115,240,280,114,-116,-0.25
E0,16/09/2017,Crystal Palace,Southampton,0,1,0,1,200,230,160,145,-149,0
E0,16/09/2017,Huddersfield,Leicester,1,1,0,0,250,240,125,112,-120,0.25
E0,16/09/2017,Liverpool,Burnley,1,1,1,1,-345,500,1200,-161,162,-1.75
E0,16/09/2017,Newcastle,Stoke,2,1,1,0,138,225,240,126,-133,-0.25
E0,16/09/2017,Tottenham,Swansea,0,0,0,0,-455,600,1400,-167,151,-1.75
E0,16/09/2017,Watford,Man City,0,6,0,3,800,500,-303,-189,174,1.5
E0,16/09/2017,West Brom,West Ham,0,0,0,0,138,225,240,125,-128,-0.25
E0,17/09/2017,Chelsea,Arsenal,0,0,0,0,-125,300,350,-147,140,-0.75
E0,17/09/2017,Man United,Everton,4,0,1,0,-278,425,900,-122,112,-1.25
E0,23/09/2017,Burnley,Huddersfield,0,0,0,0,115,225,290,150,-161,-0.25
E0,23/09/2017,Everton,Bournemouth,2,1,0,0,-154,300,475,-108,104,-0.75
E0,23/09/2017,Leicester,Liverpool,2,3,1,2,310,290,-110,-133,131,0.75
E0,23/09/2017,Man City,Crystal Palace,5,0,1,0,-714,900,2000,-263,240,-2.25
E0,23/09/2017,Southampton,Man United,0,1,0,1,450,280,-137,113,-118,0.75
E0,23/09/2017,Stoke,Chelsea,0,4,0,2,500,310,-161,-120,114,0.75
E0,23/09/2017,Swansea,Watford,1,2,0,1,140,230,225,119,-125,-0.25
E0,23/09/2017,West Ham,Tottenham,2,3,0,2,500,333,-167,-133,126,1
E0,24/09/2017,Brighton,Newcastle,1,0,0,0,180,210,190,155,-161,-0.25
E0,25/09/2017,Arsenal,West Brom,2,0,1,0,-303,450,1000,-137,135,-1.5
E0,30/09/2017,Bournemouth,Leicester,0,0,0,0,180,225,150,-114,107,0
E0,30/09/2017,Chelsea,Man City,0,1,0,0,175,230,150,-133,125,0
E0,30/09/2017,Huddersfield,Tottenham,0,4,0,3,750,375,-278,-127,120,1.25
E0,30/09/2017,Man United,Crystal Palace,4,0,2,0,-588,600,1400,-161,145,-2
E0,30/09/2017,Stoke,Southampton,2,1,1,0,188,220,145,125,-128,0.25
E0,30/09/2017,West Brom,Watford,2,2,2,1,115,220,250,155,-172,-0.25
E0,30/09/2017,West Ham,Swansea,1,0,0,0,-125,250,350,108,-116,-0.5
E0,01/10/2017,Arsenal,Brighton,2,0,1,0,-500,550,1200,-159,162,-1.75
E0,01/10/2017,Everton,Burnley,0,1,0,1,-149,260,475,118,-125,-0.75
E0,01/10/2017,Newcastle,Liverpool,1,1,1,1,400,280,-149,-137,130,0.75
E0,14/10/2017,Burnley,West Ham,1,1,0,1,175,225,180,134,-141,-0.25
E0,14/10/2017,Crystal Palace,Chelsea,2,1,2,1,800,400,-250,-115,105,1.25
E0,14/10/2017,Liverpool,Man United,0,0,0,0,180,225,180,-101,-102,0
E0,14/10/2017,Man City,Stoke,7,2,3,1,-714,850,2000,-278,260,-2.5
E0,14/10/2017,Swansea,Huddersfield,2,0,1,0,120,225,275,169,-182,-0.25
E0,14/10/2017,Tottenham,Bournemouth,1,0,0,0,-500,700,1400,-227,210,-2
E0,14/10/2017,Watford,Arsenal,2,1,0,1,425,333,-154,-164,155,0.75
E0,15/10/2017,Brighton,Everton,1,1,0,0,225,230,140,160,-164,0.25
E0,15/10/2017,Southampton,Newcastle,2,2,0,1,-110,260,350,121,-128,-0.5
E0,16/10/2017,Leicester,West Brom,1,1,0,0,105,240,320,118,-122,-0.25
E0,20/10/2017,West Ham,Brighton,0,3,0,2,-120,250,425,136,-141,-0.75
E0,21/10/2017,Chelsea,Watford,4,2,1,1,-278,425,900,-149,145,-1.25
E0,21/10/2017,Huddersfield,Man United,2,1,2,0,1000,400,-278,107,-109,1.25
E0,21/10/2017,Man City,Burnley,3,0,1,0,-909,1100,2500,-333,290,-2.75
E0,21/10/2017,Newcastle,Crystal Palace,1,0,0,0,100,250,320,112,-116,-0.25
E0,21/10/2017,Southampton,West Brom,1,0,0,0,-118,239,425,148,-161,-0.75
E0,21/10/2017,Stoke,Bournemouth,1,2,0,2,114,250,260,102,-103,-0.25
E0,21/10/2017,Swansea,Leicester,1,2,0,1,179,225,175,121,-127,0
E0,22/10/2017,Everton,Arsenal,2,5,1,1,279,260,104,-115,113,0.25
E0,22/10/2017,Tottenham,Liverpool,4,1,3,1,125,250,239,-143,133,-0.25
E0,28/10/2017,Arsenal,Swansea,2,1,0,1,-400,600,1100,-208,200,-2
E0,28/10/2017,Bournemouth,Chelsea,0,1,0,0,500,320,-164,-143,138,1
E0,28/10/2017,Crystal Palace,West Ham,2,2,0,2,139,229,229,117,-125,-0.25
E0,28/10/2017,Liverpool,Huddersfield,3,0,0,0,-400,575,1200,-189,175,-2
E0,28/10/2017,Man United,Tottenham,1,0,0,0,114,239,279,125,-130,-0.25
E0,28/10/2017,Watford,Stoke,0,1,0,1,104,260,279,-102,-102,-0.25
E0,28/10/2017,West Brom,Man City,2,3,1,2,1000,550,-357,-175,160,1.75
E0,29/10/2017,Brighton,Southampton,1,1,0,1,229,220,145,155,-167,0.25
E0,29/10/2017,Leicester,Everton,2,0,2,0,114,239,275,102,-108,-0.25
E0,30/10/2017,Burnley,Newcastle,1,0,0,0,189,220,170,141,-149,0
E0,04/11/2017,Huddersfield,West Brom,1,0,1,0,179,200,200,196,-204,-0.25
E0,04/11/2017,Newcastle,Bournemouth,0,1,0,0,100,250,320,110,-112,-0.5
E0,04/11/2017,Southampton,Burnley,0,1,0,0,-152,275,550,140,-149,-0.75
E0,04/11/2017,Stoke,Leicester,2,2,1,1,170,229,187,107,-118,0
E0,04/11/2017,Swansea,Brighton,0,1,0,1,139,220,239,155,-164,-0.25
E0,04/11/2017,West Ham,Liverpool,1,4,0,2,425,333,-152,-147,138,1
E0,05/11/2017,Chelsea,Man United,1,0,0,0,150,220,220,141,-149,-0.25
E0,05/11/2017,Everton,Watford,3,2,0,0,120,239,260,110,-115,-0.25
E0,05/11/2017,Man City,Arsenal,3,1,1,0,-256,450,650,-238,265,-1.25
E0,05/11/2017,Tottenham,Crystal Palace,1,0,0,0,-357,500,1100,-200,175,-1.5
E0,18/11/2017,Arsenal,Tottenham,2,0,2,0,150,260,189,-145,135,-0.25
E0,18/11/2017,Bournemouth,Huddersfield,4,0,2,0,-120,250,425,125,-133,-0.5
E0,18/11/2017,Burnley,Swansea,2,0,2,0,114,220,300,169,-182,-0.25
E0,18/11/2017,Crystal Palace,Everton,2,2,2,2,139,225,229,126,-135,-0.25
E0,18/11/2017,Leicester,Man City,0,2,0,1,850,475,-303,-222,200,1.5
E0,18/11/2017,Liverpool,Southampton,3,0,2,0,-256,400,800,-143,135,-1.25
E0,18/11/2017,Man United,Newcastle,4,1,2,1,-357,475,1200,-110,105,-1.5
E0,18/11/2017,West Brom,Chelsea,0,4,0,3,550,300,-164,113,-120,1
E0,19/11/2017,Watford,West Ham,2,0,1,0,110,250,275,-105,-102,-0.25
E0,20/11/2017,Brighton,Stoke,2,2,1,2,139,220,239,151,-161,-0.25
E0,24/11/2017,West Ham,Leicester,1,1,1,1,170,239,175,105,-111,0.25
E0,25/11/2017,Crystal Palace,Stoke,2,1,0,0,104,250,300,110,-118,-0.25
E0,25/11/2017,Liverpool,Chelsea,1,1,0,0,114,260,250,-133,130,-0.25
E0,25/11/2017,Man United,Brighton,1,0,0,0,-526,600,1800,-133,130,-2
E0,25/11/2017,Newcastle,Watford,0,3,0,2,120,250,250,110,-112,-0.25
E0,25/11/2017,Swansea,Bournemouth,0,0,0,0,179,225,179,126,-133,-0.25
E0,25/11/2017,Tottenham,West Brom,1,1,0,1,-400,500,1500,-132,126,-1.75
E0,26/11/2017,Burnley,Arsenal,0,1,0,0,550,350,-189,-127,120,1
E0,26/11/2017,Huddersfield,Man City,1,2,1,0,1600,700,-556,-196,188,2
E0,26/11/2017,Southampton,Everton,4,1,1,1,-111,239,375,133,-143,-0.75
E0,28/11/2017,Brighton,Crystal Palace,0,0,0,0,170,210,200,160,-167,-0.25
E0,28/11/2017,Leicester,Tottenham,2,1,2,0,400,289,-133,-118,114,0.75
