Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,B365H,B365D,B365A,B365>2.5,B365<2.5,AHCh
E0,09/08/2019,20:00,Liverpool,Norwich,4,1,4,0,-714,900,1800,-250,200,-2.25
E0,10/08/2019,12:30,West Ham,Man City,0,5,0,1,1100,550,-455,-227,175,1.75
E0,10/08/2019,15:00,Bournemouth,Sheffield United,1,1,0,0,-105,260,260,-111,-111,-0.5
E0,10/08/2019,15:00,Burnley,Southampton,3,0,0,0,162,220,175,110,-139,0
E0,10/08/2019,15:00,Crystal Palace,Everton,0,0,0,0,200,225,137,120,-152,0.25
E0,10/08/2019,15:00,Watford,Brighton,0,3,0,1,-111,240,300,110,-139,-0.5
E0,10/08/2019,17:30,Tottenham,Aston Villa,3,1,0,1,-333,425,900,-152,120,-1.5
E0,11/08/2019,14:00,Leicester,Wolves,0,0,0,0,120,220,240,120,-152,-0.25
E0,11/08/2019,14:00,Newcastle,Arsenal,0,1,0,0,350,275,-139,-125,100,0.25
E0,11/08/2019,16:30,Man United,Chelsea,4,0,1,0,110,230,250,100,-125,-0.5
E0,17/08/2019,12:30,Arsenal,Burnley,2,1,1,1,-333,450,900,-175,137,-1.5
E0,17/08/2019,15:00,Aston Villa,Bournemouth,1,2,0,2,130,240,210,-125,100,-0.25
E0,17/08/2019,15:00,Brighton,West Ham,1,1,0,0,155,225,187,-111,-111,-0.25
E0,17/08/2019,15:00,Everton,Watford,1,0,1,0,-139,280,375,-139,110,-0.75
E0,17/08/2019,15:00,Norwich,Newcastle,3,1,1,0,125,230,230,-111,-111,-0.25
E0,17/08/2019,15:00,Southampton,Liverpool,1,2,0,1,550,375,-227,-152,120,1
E0,17/08/2019,17:30,Man City,Tottenham,2,2,2,1,-278,425,700,-189,150,-1.5
E0,18/08/2019,14:00,Sheffield United,Crystal Palace,1,0,0,0,155,210,190,130,-164,-0.25
E0,18/08/2019,16:30,Chelsea,Leicester,1,1,1,0,-143,275,400,-111,-111,-0.75
E0,19/08/2019,20:00,Wolves,Man United,1,1,0,1,230,230,125,110,-139,0.25
E0,23/08/2019,20:00,Aston Villa,Everton,2,0,1,0,225,250,115,-139,110,0.25
E0,24/08/2019,12:30,Norwich,Chelsea,2,3,2,2,333,275,-125,-189,150,0.5
