Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,B365H,B365D,B365A,B365>2.5,B365<2.5,AHCh
E0,15/08/2025,20:00,Liverpool,Bournemouth,4,2,1,0,-333,500,750,-278,220,-1.75
E0,16/08/2025,12:30,Aston Villa,Newcastle,0,0,0,0,125,250,190,-161,130,-0.25
E0,16/08/2025,15:00,Brighton,Fulham,1,1,0,0,-110,260,300,-137,110,-0.5
E0,16/08/2025,15:00,Sunderland,West Ham,3,0,0,0,225,240,125,-108,-108,0.25
E0,16/08/2025,15:00,Tottenham,Burnley,3,0,1,0,-263,375,750,-137,110,-1
E0,16/08/2025,17:30,Wolves,Man City,0,4,0,2,525,375,-222,-161,130,1
E0,17/08/2025,14:00,Chelsea,Crystal Palace,0,0,0,0,-161,333,350,-149,120,-0.5
E0,17/08/2025,14:00,Nott'm Forest,Brentford,3,1,3,0,120,230,250,100,-118,-0.5
E0,17/08/2025,16:30,Man United,Arsenal,0,1,0,1,260,260,-105,-120,103,0.5
E0,18/08/2025,20:00,Leeds,Everton,1,0,0,0,138,230,200,110,-137,-0.25
E0,22/08/2025,20:00,West Ham,Chelsea,1,5,1,3,375,280,-137,-137,110,0.75
E0,23/08/2025,12:30,Man City,Tottenham,0,2,0,2,-208,350,525,-227,175,-1
E0,23/08/2025,15:00,Bournemouth,Wolves,1,0,1,0,-125,280,320,-137,110,-0.75
E0,23/08/2025,15:00,Brentford,Aston Villa,1,0,1,0,210,260,120,-125,100,0.25
E0,23/08/2025,15:00,Burnley,Sunderland,2,0,0,0,120,220,250,130,-161,-0.25
E0,23/08/2025,17:30,Arsenal,Leeds,5,0,2,0,-370,525,850,-189,150,-1.5
E0,24/08/2025,14:00,Crystal Palace,Nott'm Forest,1,1,1,0,135,230,210,110,-137,-0.25
E0,24/08/2025,14:00,Everton,Brighton,2,0,1,0,210,230,130,100,-125,0
E0,24/08/2025,16:30,Fulham,Man United,1,1,0,0,225,250,115,-125,100,0.25
E0,25/08/2025,20:00,Newcastle,Liverpool,2,3,0,1,225,280,105,-175,138,0.25
E0,30/08/2025,12:30,Chelsea,Fulham,2,0,1,0,-182,333,425,-149,120,-1
E0,30/08/2025,15:00,Man United,Burnley,3,2,1,0,-303,425,700,-149,120,-1.25
E0,30/08/2025,15:00,Sunderland,Brentford,2,1,0,0,200,230,140,110,-137,0.25
E0,30/08/2025,15:00,Tottenham,Bournemouth,0,1,0,1,-137,320,320,-175,138,-0.5
E0,30/08/2025,15:00,Wolves,Everton,2,3,1,2,170,220,175,120,-149,0.25
E0,30/08/2025,17:30,Leeds,Newcastle,0,0,0,0,250,240,110,-125,100,0.5
E0,31/08/2025,14:00,Brighton,Man City,2,1,0,1,280,290,-111,-161,130,0.5
E0,31/08/2025,14:00,Nott'm Forest,West Ham,0,3,0,0,-149,275,425,-102,-114,-0.75
E0,31/08/2025,16:30,Liverpool,Arsenal,1,0,0,0,120,250,220,-137,110,-0.25
E0,31/08/2025,19:00,Aston Villa,Crystal Palace,0,3,0,1,-118,270,300,-102,-114,-0.25
