Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,B365H,B365D,B365A,BbAv>2.5,BbAv<2.5,BbAHh
SP1,17/08/2018,Betis,Levante,0,3,0,1,-152,300,400,-132,106,-0.75
SP1,17/08/2018,Girona,Valladolid,0,0,0,0,-133,260,400,113,-141,-0.75
SP1,18/08/2018,Barcelona,Alaves,3,0,0,0,-909,900,2000,-294,218,-2.5
SP1,18/08/2018,Celta,Espanol,1,1,0,1,-118,250,350,106,-132,-0.75
SP1,18/08/2018,Villarreal,Sociedad,1,2,1,1,104,240,280,-101,-123,-0.25
SP1,19/08/2018,Eibar,Huesca,1,2,0,2,-152,275,450,-114,-110,-0.75
SP1,19/08/2018,Real Madrid,Getafe,2,0,1,0,-500,600,1200,-222,166,-1.75
SP1,19/08/2018,Vallecano,Sevilla,1,4,0,3,225,260,114,-132,104,0.25
SP1,20/08/2018,Ath Bilbao,Leganes,2,1,1,1,-133,230,450,135,-172,-0.75
SP1,20/08/2018,Valencia,Ath Madrid,1,1,0,1,200,220,150,133,-169,0.25
SP1,24/08/2018,Getafe,Eibar,2,0,1,0,-105,220,333,162,-213,-0.5
SP1,24/08/2018,Leganes,Sociedad,2,2,0,2,250,230,110,136,-172,0.25
SP1,25/08/2018,Alaves,Betis,0,0,0,0,180,225,160,113,-143,0
SP1,25/08/2018,Ath Madrid,Vallecano,1,0,0,0,-625,600,2000,-175,138,-2
SP1,25/08/2018,Valladolid,Barcelona,0,1,0,0,1600,650,-625,-238,180,2
SP1,26/08/2018,Espanol,Valencia,2,0,0,0,225,220,137,107,-135,0.25
SP1,26/08/2018,Girona,Real Madrid,1,4,1,1,700,450,-278,-200,152,1.5
SP1,26/08/2018,Sevilla,Villarreal,0,0,0,0,-139,320,333,-141,112,-1
SP1,27/08/2018,Ath Bilbao,Huesca,2,2,0,0,-164,260,550,101,-127,-1
SP1,27/08/2018,Levante,Celta,1,2,0,2,140,225,200,103,-128,-0.25
SP1,31/08/2018,Eibar,Sociedad,2,1,1,1,175,225,162,120,-149,0.25
SP1,31/08/2018,Getafe,Valladolid,0,0,0,0,-111,220,375,159,-204,-0.5
SP1,31/08/2018,Villarreal,Girona,0,1,0,0,-175,300,500,-110,-112,-1
SP1,01/09/2018,Celta,Ath Madrid,2,0,0,0,450,240,-133,110,-139,0.75
SP1,01/09/2018,Real Madrid,Leganes,4,1,1,1,-833,800,2000,-303,223,-2.5
SP1,02/09/2018,Alaves,Espanol,2,1,0,1,190,210,154,156,-200,0.25
SP1,02/09/2018,Barcelona,Huesca,8,2,3,2,-1250,1000,2800,-476,330,-3
SP1,02/09/2018,Betis,Sevilla,1,0,0,0,180,250,145,-172,136,0.25
SP1,02/09/2018,Levante,Valencia,2,2,2,1,275,240,100,-122,-101,0.25
SP1,14/09/2018,Huesca,Vallecano,0,1,0,1,114,250,240,-118,-104,-0.25
SP1,15/09/2018,Ath Bilbao,Real Madrid,1,1,1,0,500,333,-189,-208,159,1
SP1,15/09/2018,Ath Madrid,Eibar,1,1,0,0,-278,333,1100,103,-127,-1.25
SP1,15/09/2018,Sociedad,Barcelona,1,2,1,0,600,425,-250,-227,172,1.25
