Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,B365H,B365D,B365A,B365>2.5,B365<2.5,AHCh
SP1,12/09/2020,15:00,Eibar,Celta,0,0,0,0,150,225,190,130,-164,0
SP1,12/09/2020,17:30,Granada,Ath Bilbao,2,0,0,0,175,210,175,150,-189,0
SP1,12/09/2020,20:00,Cadiz,Osasuna,0,2,0,1,180,200,175,175,-227,0.25
SP1,13/09/2020,13:00,Alaves,Betis,0,1,0,0,180,220,160,120,-152,0.25
SP1,13/09/2020,15:00,Valladolid,Sociedad,1,1,1,0,180,220,160,130,-164,0
SP1,13/09/2020,17:30,Villarreal,Huesca,1,1,0,1,-175,300,500,-111,-111,-1
SP1,13/09/2020,20:00,Valencia,Levante,4,2,2,2,110,250,250,-125,100,-0.25
SP1,19/09/2020,15:00,Villarreal,Eibar,2,1,0,0,-175,300,500,-111,-111,-0.75
SP1,19/09/2020,17:30,Getafe,Osasuna,1,0,0,0,-105,225,333,175,-227,-0.5
SP1,19/09/2020,20:00,Celta,Valencia,2,1,1,0,120,260,210,100,-125,-0.25
SP1,20/09/2020,15:00,Huesca,Cadiz,0,2,0,1,110,210,300,162,-200,-0.5
SP1,20/09/2020,17:30,Betis,Valladolid,2,0,2,0,-118,260,333,110,-139,-0.5
SP1,20/09/2020,17:30,Granada,Alaves,2,1,1,1,105,210,320,175,-227,-0.25
SP1,20/09/2020,20:00,Sociedad,Real Madrid,0,0,0,0,375,280,-139,-139,110,0.75
SP1,26/09/2020,12:00,Alaves,Getafe,0,0,0,0,250,190,137,220,-278,0.25
SP1,26/09/2020,15:00,Valencia,Huesca,1,1,1,0,100,240,300,110,-139,-0.25
SP1,26/09/2020,17:30,Elche,Sociedad,0,3,0,0,320,230,-105,150,-189,0.75
SP1,26/09/2020,20:00,Betis,Real Madrid,2,3,2,1,300,300,-125,-139,110,0.75
SP1,27/09/2020,11:00,Osasuna,Levante,1,3,1,1,130,220,225,110,-139,-0.25
SP1,27/09/2020,13:00,Eibar,Ath Bilbao,1,2,0,1,200,200,155,175,-227,0.25
SP1,27/09/2020,15:00,Ath Madrid,Granada,6,1,1,0,-200,300,650,130,-164,-1.25
SP1,27/09/2020,17:30,Cadiz,Sevilla,1,3,0,0,400,260,-143,150,-189,0.75
SP1,27/09/2020,17:30,Valladolid,Celta,1,1,0,1,180,200,170,200,-250,0.25
SP1,27/09/2020,20:00,Barcelona,Villarreal,4,0,4,0,-189,333,500,-200,162,-1
SP1,29/09/2020,18:00,Sociedad,Valencia,0,1,0,0,-189,320,475,-125,100,-1
SP1,29/09/2020,20:30,Getafe,Betis,3,0,3,0,145,210,200,150,-189,-0.25
SP1,30/09/2020,18:00,Huesca,Ath Madrid,0,0,0,0,650,320,-222,120,-152,1
SP1,30/09/2020,18:00,Villarreal,Alaves,3,1,2,1,-175,280,475,100,-125,-1
SP1,30/09/2020,20:30,Eibar,Elche,0,1,0,1,-125,250,350,150,-189,-0.75
