Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,B365H,B365D,B365A,B365>2.5,B365<2.5,AHCh
SP1,31/10/2025,20:00,Getafe,Girona,2,1,0,0,115,200,280,175,-227,-0.5
SP1,01/11/2025,13:00,Villarreal,Vallecano,4,0,1,0,-143,280,400,-137,110,-0.75
SP1,01/11/2025,15:15,Ath Madrid,Sevilla,3,0,0,0,-303,400,800,-161,130,-1.5
SP1,01/11/2025,17:30,Sociedad,Ath Bilbao,3,2,1,1,170,200,180,150,-189,0
SP1,01/11/2025,20:00,Real Madrid,Valencia,4,0,3,0,-588,700,1400,-278,220,-2.5
SP1,02/11/2025,13:00,Levante,Celta,1,2,0,1,188,240,145,-125,100,0.25
SP1,02/11/2025,15:15,Alaves,Espanol,2,1,2,0,138,200,230,163,-200,-0.25
SP1,02/11/2025,17:30,Barcelona,Elche,3,1,2,1,-455,525,1100,-278,220,-2
SP1,02/11/2025,20:00,Betis,Mallorca,3,0,3,0,-175,320,425,-114,-102,-1
SP1,03/11/2025,20:00,Oviedo,Osasuna,0,0,0,0,200,210,150,138,-175,0.25
